watcher_pos,knower_pos,beliefs
"(8, 18)","(9, 3)","{1: 0.3333333333333333, 2: 0.3333333333333333, 3: 0.3333333333333333}"
"(7, 18)","(8, 3)","{1: 0.3333333333333333, 2: 0.3333333333333333, 3: 0.3333333333333333}"
"(6, 18)","(7, 3)","{1: 0.3333333333333333, 2: 0.3333333333333333, 3: 0.3333333333333333}"
"(5, 18)","(6, 3)","{1: 0.3333333333333333, 2: 0.3333333333333333, 3: 0.3333333333333333}"
"(4, 18)","(5, 3)","{1: 0.3400140153864776, 2: 0.3448533781606838, 3: 0.3151326064528385}"
"(3, 18)","(5, 4)","{1: 0.3400140153864776, 2: 0.3448533781606838, 3: 0.3151326064528385}"
"(2, 18)","(4, 4)","{1: 0.3400140153864776, 2: 0.3448533781606838, 3: 0.3151326064528385}"
"(2, 17)","(3, 4)","{1: 0.3400140153864776, 2: 0.3448533781606838, 3: 0.3151326064528385}"
"(2, 16)","(2, 4)","{1: 0.3478748975151542, 2: 0.36007571090126445, 3: 0.2920493915835813}"
"(2, 15)","(1, 4)","{1: 0.3478748975151542, 2: 0.36007571090126445, 3: 0.2920493915835813}"
"(2, 14)","(1, 5)","{1: 0.3478748975151542, 2: 0.36007571090126445, 3: 0.2920493915835813}"
"(2, 13)","(1, 6)","{1: 0.3478748975151542, 2: 0.36007571090126445, 3: 0.2920493915835813}"
"(2, 12)","(2, 6)","{1: 0.25881694736064936, 2: 0.4944697491673833, 3: 0.2467133034719673}"
"(3, 12)","(2, 7)","{1: 0.25881694736064936, 2: 0.4944697491673833, 3: 0.2467133034719673}"
"(4, 12)","(2, 6)","{1: 0.25881694736064936, 2: 0.4944697491673833, 3: 0.2467133034719673}"
"(5, 12)","(1, 6)","{1: 0.25881694736064936, 2: 0.4944697491673833, 3: 0.2467133034719673}"
"(6, 12)","(1, 5)","{1: 0.3928428215136501, 2: 0.277344627091376, 3: 0.329812551394974}"
"(7, 12)","(1, 4)","{1: 0.3928428215136501, 2: 0.277344627091376, 3: 0.329812551394974}"
"(8, 12)","(2, 4)","{1: 0.3928428215136501, 2: 0.277344627091376, 3: 0.329812551394974}"
"(9, 12)","(3, 4)","{1: 0.3928428215136501, 2: 0.277344627091376, 3: 0.329812551394974}"
"(9, 11)","(4, 4)","{1: 0.3103106538442144, 2: 0.33500621470713304, 3: 0.35468313144865254}"
"(9, 10)","(5, 4)","{1: 0.3103106538442144, 2: 0.33500621470713304, 3: 0.35468313144865254}"
"(9, 10)","(6, 4)","{1: 0.3103106538442144, 2: 0.33500621470713304, 3: 0.35468313144865254}"
"(9, 10)","(6, 3)","{1: 0.3103106538442144, 2: 0.33500621470713304, 3: 0.35468313144865254}"
"(9, 10)","(7, 3)","{1: 0.31394921243211776, 2: 0.22728079381951466, 3: 0.4587699937483676}"
"(9, 10)","(8, 3)","{1: 0.31394921243211776, 2: 0.22728079381951466, 3: 0.4587699937483676}"
"(9, 10)","(9, 3)","{1: 0.31394921243211776, 2: 0.22728079381951466, 3: 0.4587699937483676}"
"(9, 10)","(10, 3)","{1: 0.31394921243211776, 2: 0.22728079381951466, 3: 0.4587699937483676}"
"(9, 10)","(10, 2)","{1: 0.281343766427592, 2: 0.15832496920348396, 3: 0.560331264368924}"
"(9, 10)","(11, 2)","{1: 0.281343766427592, 2: 0.15832496920348396, 3: 0.560331264368924}"
"(9, 10)","(12, 2)","{1: 0.281343766427592, 2: 0.15832496920348396, 3: 0.560331264368924}"
"(9, 10)","(13, 2)","{1: 0.281343766427592, 2: 0.15832496920348396, 3: 0.560331264368924}"
"(9, 10)","(14, 2)","{1: 0.22125149024550414, 2: 0.10053280466088073, 3: 0.6782157050936151}"
"(9, 10)","(15, 2)","{1: 0.22125149024550414, 2: 0.10053280466088073, 3: 0.6782157050936151}"
"(9, 10)","(16, 2)","{1: 0.22125149024550414, 2: 0.10053280466088073, 3: 0.6782157050936151}"
"(9, 10)","(17, 2)","{1: 0.22125149024550414, 2: 0.10053280466088073, 3: 0.6782157050936151}"
"(9, 10)","(18, 2)","{1: 0.173689666773898, 2: 0.07131465882472215, 3: 0.7549956744013798}"
"(9, 10)","(17, 2)","{1: 0.173689666773898, 2: 0.07131465882472215, 3: 0.7549956744013798}"
"(9, 10)","(16, 2)","{1: 0.173689666773898, 2: 0.07131465882472215, 3: 0.7549956744013798}"
"(9, 10)","(15, 2)","{1: 0.173689666773898, 2: 0.07131465882472215, 3: 0.7549956744013798}"
"(9, 10)","(15, 3)","{1: 0.15414059052000512, 2: 0.04689373131581402, 3: 0.798965678164181}"
"(9, 10)","(14, 3)","{1: 0.15414059052000512, 2: 0.04689373131581402, 3: 0.798965678164181}"
"(9, 10)","(14, 4)","{1: 0.15414059052000512, 2: 0.04689373131581402, 3: 0.798965678164181}"
"(9, 10)","(13, 4)","{1: 0.15414059052000512, 2: 0.04689373131581402, 3: 0.798965678164181}"
"(9, 10)","(13, 5)","{1: 0.14091892206767134, 2: 0.029618014626912555, 3: 0.8294630633054162}"
