watcher_pos,knower_pos,beliefs
"(8, 18)","(9, 3)","{1: 0.33333333333333337, 2: 0.33333333333333337, 3: 0.33333333333333337}"
"(7, 18)","(8, 3)","{1: 0.3164314966353579, 2: 0.39738326500221466, 3: 0.2861852383624275}"
"(6, 18)","(7, 3)","{1: 0.3287988392961301, 2: 0.42488608300829034, 3: 0.24631507769557964}"
"(6, 17)","(6, 3)","{1: 0.33933270889669537, 2: 0.45189078561529694, 3: 0.20877650548800766}"
"(6, 16)","(5, 3)","{1: 0.34778766692660745, 2: 0.4780572784205524, 3: 0.17415505465284026}"
"(6, 15)","(5, 4)","{1: 0.35400000539669324, 2: 0.5031053424369911, 3: 0.14289465216631567}"
"(6, 14)","(4, 4)","{1: 0.35957883404195956, 2: 0.5394522366259729, 3: 0.10096892933206773}"
"(6, 13)","(3, 4)","{1: 0.42939092761568465, 2: 0.4893155060674428, 3: 0.08129356631687258}"
"(6, 12)","(2, 4)","{1: 0.42872350278065197, 2: 0.5079443602983319, 3: 0.06333213692101615}"
"(5, 12)","(2, 3)","{1: 0.4258751537308711, 2: 0.5256324460903153, 3: 0.04849240017881346}"
"(4, 12)","(2, 2)","{1: 0.8487970984645113, 2: 0.0905106678770363, 3: 0.06069223365845237}"
"(3, 12)","(2, 3)","{1: 0.9491284076677476, 2: 0.009401497535615751, 3: 0.04147009479663659}"
"(2, 12)","(3, 3)","{1: 0.9640568817506944, 2: 0.00914844415712218, 3: 0.02679467409218347}"
"(3, 12)","(3, 4)","{1: 0.978963071592274, 2: 0.0012019029863287408, 3: 0.019835025421397135}"
"(4, 12)","(4, 4)","{1: 0.9845761826975397, 2: 0.001105173368286832, 3: 0.014318643934173557}"
"(5, 12)","(5, 4)","{1: 0.987593500638283, 2: 0.00013664502987840204, 3: 0.012269854331838576}"
"(6, 12)","(6, 4)","{1: 0.9895883820428695, 2: 1.8129296346265126e-05, 3: 0.010393488660784175}"
"(7, 12)","(6, 3)","{1: 0.992863351926699, 2: 2.555266265259851e-06, 3: 0.007134092807035814}"
"(8, 12)","(7, 3)","{1: 0.8549710592928527, 2: 1.1378679654344654e-05, 3: 0.14501756202749294}"
"(9, 12)","(8, 3)","{1: 0.8941152376126276, 2: 1.9244622429522687e-06, 3: 0.10588283792512945}"
"(9, 11)","(9, 3)","{1: 0.9246445653925129, 2: 3.329208413798183e-07, 3: 0.07535510168664573}"
"(9, 10)","(10, 3)","{1: 0.9475507022302968, 2: 5.8719104410738e-08, 3: 0.05244923905059886}"
"(9, 10)","(10, 2)","{1: 0.40751596275332014, 2: 1.74216477357389e-07, 3: 0.5924838630302025}"
"(9, 11)","(11, 2)","{1: 0.01775289191079558, 2: 7.822592974312606e-08, 3: 0.9822470298632747}"
"(9, 12)","(12, 2)","{1: 0.0005526571914634503, 2: 1.7150260606822154e-08, 3: 0.9994473256582759}"
"(9, 13)","(13, 2)","{1: 2.2990860812527265e-05, 2: 3.742821904621486e-09, 3: 0.9999770053963656}"
"(9, 14)","(14, 2)","{1: 1.2157653086867292e-06, 2: 8.227946346862814e-10, 3: 0.9999987834118967}"
"(8, 14)","(15, 2)","{1: 7.778811673877288e-08, 2: 1.8152159682859292e-10, 3: 0.9999999220303616}"
"(7, 14)","(16, 2)","{1: 5.795088259963631e-09, 2: 4.002794501377871e-11, 3: 0.9999999941648838}"
"(6, 14)","(17, 2)","{1: 4.876424302471288e-10, 2: 8.788124533553645e-12, 3: 0.9999999995035695}"
"(6, 15)","(18, 2)","{1: 7.19621528025059e-11, 2: 2.3946747076399114e-12, 3: 0.9999999999256431}"
"(6, 16)","(17, 2)","{1: 1.791259507174325e-12, 2: 6.400698088041261e-13, 3: 0.9999999999975686}"
"(5, 16)","(16, 2)","{1: 7.219068324352778e-13, 2: 4.1020579047432547e-13, 3: 0.9999999999988678}"
"(5, 17)","(15, 2)","{1: 1.1253354483835242e-13, 2: 2.5802555532152523e-13, 3: 0.9999999999996295}"
"(5, 18)","(15, 3)","{1: 1.874416867093463e-14, 2: 1.6692522500436254e-13, 3: 0.9999999999998144}"
"(4, 18)","(14, 3)","{1: 4.754331001148201e-15, 2: 1.2867464589477674e-13, 3: 0.9999999999998666}"
"(3, 18)","(14, 4)","{1: 8.717235134969193e-16, 2: 1.0588095971090231e-13, 3: 0.9999999999998932}"
"(2, 18)","(13, 4)","{1: 1.6589279990109697e-16, 2: 7.951603891585594e-14, 3: 0.9999999999999203}"
"(2, 17)","(13, 5)","{1: 3.2293279638628765e-17, 2: 5.893413089734714e-14, 3: 0.999999999999941}"
"(3, 17)","(13, 6)","{1: 6.399694932351211e-18, 2: 4.3121781487653924e-14, 3: 0.9999999999999568}"
"(3, 16)","(13, 7)","{1: 1.2862845213602176e-18, 2: 3.117381357120383e-14, 3: 0.9999999999999688}"
"(3, 15)","(12, 7)","{1: 2.615051532605835e-19, 2: 2.2297874325052163e-14, 3: 0.9999999999999777}"
"(4, 15)","(12, 8)","{1: 5.3694566277468836e-20, 2: 1.581538308986593e-14, 3: 0.9999999999999842}"
"(5, 15)","(12, 9)","{1: 1.1132130267224748e-20, 2: 1.1158801792844312e-14, 3: 0.9999999999999888}"
"(6, 15)","(11, 9)","{1: 2.3328728894608464e-21, 2: 2.393726227058165e-15, 3: 0.9999999999999977}"
"(6, 14)","(10, 9)","{1: 2.3328728894608464e-21, 2: 2.393726227058165e-15, 3: 0.9999999999999977}"
"(6, 13)","(9, 9)","{1: 2.3328728894608464e-21, 2: 2.393726227058165e-15, 3: 0.9999999999999977}"
"(6, 12)","(9, 9)","{1: 2.3328728894608464e-21, 2: 2.393726227058165e-15, 3: 0.9999999999999977}"
"(7, 12)","(9, 9)","{1: 2.3328728894608464e-21, 2: 2.393726227058165e-15, 3: 0.9999999999999977}"
"(8, 12)","(9, 9)","{1: 2.3328728894608464e-21, 2: 2.393726227058165e-15, 3: 0.9999999999999977}"
"(9, 12)","(9, 9)","{1: 2.3328728894608464e-21, 2: 2.393726227058165e-15, 3: 0.9999999999999977}"
"(9, 11)","(9, 9)","{1: 2.3328728894608464e-21, 2: 2.393726227058165e-15, 3: 0.9999999999999977}"
"(9, 10)","(9, 9)","{1: 2.3328728894608464e-21, 2: 2.393726227058165e-15, 3: 0.9999999999999977}"
