watcher_pos,knower_pos,beliefs
"(8, 18)","(8, 2)","{1: 0.3333333333333333, 2: 0.3333333333333333, 3: 0.3333333333333333}"
"(7, 18)","(7, 2)","{1: 0.3333333333333333, 2: 0.3333333333333333, 3: 0.3333333333333333}"
"(6, 18)","(6, 2)","{1: 0.3333333333333333, 2: 0.3333333333333333, 3: 0.3333333333333333}"
"(5, 18)","(5, 2)","{1: 0.3333333333333333, 2: 0.3333333333333333, 3: 0.3333333333333333}"
"(4, 18)","(4, 2)","{1: 0.3333333333333333, 2: 0.3333333333333333, 3: 0.3333333333333333}"
"(3, 18)","(3, 2)","{1: 0.33968632402111804, 2: 0.3328230672172217, 3: 0.32749060876166025}"
"(2, 18)","(2, 2)","{1: 0.33968632402111804, 2: 0.3328230672172217, 3: 0.32749060876166025}"
"(2, 17)","(3, 2)","{1: 0.33968632402111804, 2: 0.3328230672172217, 3: 0.32749060876166025}"
"(2, 16)","(4, 2)","{1: 0.33968632402111804, 2: 0.3328230672172217, 3: 0.32749060876166025}"
"(2, 15)","(5, 2)","{1: 0.33968632402111804, 2: 0.3328230672172217, 3: 0.32749060876166025}"
"(2, 14)","(6, 2)","{1: 0.3582167798705899, 2: 0.3067428383338856, 3: 0.3350403817955245}"
"(2, 13)","(7, 2)","{1: 0.3582167798705899, 2: 0.3067428383338856, 3: 0.3350403817955245}"
"(2, 12)","(8, 2)","{1: 0.3582167798705899, 2: 0.3067428383338856, 3: 0.3350403817955245}"
"(3, 12)","(9, 2)","{1: 0.3582167798705899, 2: 0.3067428383338856, 3: 0.3350403817955245}"
"(4, 12)","(10, 2)","{1: 0.3582167798705899, 2: 0.3067428383338856, 3: 0.3350403817955245}"
"(5, 12)","(11, 2)","{1: 0.3396136464981001, 2: 0.2994241937859533, 3: 0.3609621597159465}"
"(6, 12)","(12, 2)","{1: 0.3396136464981001, 2: 0.2994241937859533, 3: 0.3609621597159465}"
"(7, 12)","(13, 2)","{1: 0.3396136464981001, 2: 0.2994241937859533, 3: 0.3609621597159465}"
"(8, 12)","(14, 2)","{1: 0.3396136464981001, 2: 0.2994241937859533, 3: 0.3609621597159465}"
"(9, 12)","(15, 2)","{1: 0.3396136464981001, 2: 0.2994241937859533, 3: 0.3609621597159465}"
"(9, 11)","(16, 2)","{1: 0.3178065873608808, 2: 0.29216556145604056, 3: 0.39002785118307853}"
"(9, 10)","(17, 2)","{1: 0.3178065873608808, 2: 0.29216556145604056, 3: 0.39002785118307853}"
"(9, 10)","(18, 2)","{1: 0.3178065873608808, 2: 0.29216556145604056, 3: 0.39002785118307853}"
"(9, 10)","(17, 2)","{1: 0.3178065873608808, 2: 0.29216556145604056, 3: 0.39002785118307853}"
"(9, 10)","(16, 2)","{1: 0.3178065873608808, 2: 0.29216556145604056, 3: 0.39002785118307853}"
"(9, 10)","(15, 2)","{1: 0.2939337610157847, 2: 0.29242737328611745, 3: 0.4136388656980979}"
"(9, 10)","(15, 3)","{1: 0.2939337610157847, 2: 0.29242737328611745, 3: 0.4136388656980979}"
"(9, 10)","(14, 3)","{1: 0.2939337610157847, 2: 0.29242737328611745, 3: 0.4136388656980979}"
"(9, 10)","(14, 4)","{1: 0.2939337610157847, 2: 0.29242737328611745, 3: 0.4136388656980979}"
"(9, 10)","(13, 4)","{1: 0.2939337610157847, 2: 0.29242737328611745, 3: 0.4136388656980979}"
"(9, 10)","(13, 5)","{1: 0.2712254577272082, 2: 0.2933648315453992, 3: 0.4354097107273926}"
"(9, 10)","(13, 6)","{1: 0.2712254577272082, 2: 0.2933648315453992, 3: 0.4354097107273926}"
"(9, 10)","(13, 7)","{1: 0.2712254577272082, 2: 0.2933648315453992, 3: 0.4354097107273926}"
"(9, 10)","(12, 7)","{1: 0.2712254577272082, 2: 0.2933648315453992, 3: 0.4354097107273926}"
"(9, 10)","(12, 8)","{1: 0.2712254577272082, 2: 0.2933648315453992, 3: 0.4354097107273926}"
"(9, 10)","(12, 9)","{1: 0.24801688591683688, 2: 0.26991861999931355, 3: 0.48206449408384966}"
"(9, 10)","(11, 9)","{1: 0.24801688591683688, 2: 0.26991861999931355, 3: 0.48206449408384966}"
"(9, 10)","(10, 9)","{1: 0.24801688591683688, 2: 0.26991861999931355, 3: 0.48206449408384966}"
"(9, 10)","(9, 9)","{1: 0.24801688591683688, 2: 0.26991861999931355, 3: 0.48206449408384966}"
"(9, 10)","(9, 9)","{1: 0.24801688591683688, 2: 0.26991861999931355, 3: 0.48206449408384966}"
"(9, 10)","(9, 9)","{1: 0.18901563959674872, 2: 0.20396666219669918, 3: 0.6070176982065522}"
"(9, 10)","(9, 9)","{1: 0.18901563959674872, 2: 0.20396666219669918, 3: 0.6070176982065522}"
"(9, 10)","(9, 9)","{1: 0.18901563959674872, 2: 0.20396666219669918, 3: 0.6070176982065522}"
"(9, 10)","(9, 9)","{1: 0.18901563959674872, 2: 0.20396666219669918, 3: 0.6070176982065522}"
"(9, 10)","(9, 9)","{1: 0.18901563959674872, 2: 0.20396666219669918, 3: 0.6070176982065522}"
"(9, 10)","(9, 9)","{1: 0.13557178986672935, 2: 0.14505764841979898, 3: 0.7193705617134717}"
"(9, 10)","(9, 9)","{1: 0.13557178986672935, 2: 0.14505764841979898, 3: 0.7193705617134717}"
"(9, 10)","(9, 9)","{1: 0.13557178986672935, 2: 0.14505764841979898, 3: 0.7193705617134717}"
"(9, 10)","(9, 9)","{1: 0.13557178986672935, 2: 0.14505764841979898, 3: 0.7193705617134717}"
"(9, 10)","(9, 9)","{1: 0.13557178986672935, 2: 0.14505764841979898, 3: 0.7193705617134717}"
"(9, 10)","(9, 9)","{1: 0.0923517980268965, 2: 0.09797753576117599, 3: 0.8096706662119276}"
"(9, 10)","(9, 9)","{1: 0.0923517980268965, 2: 0.09797753576117599, 3: 0.8096706662119276}"
"(9, 10)","(9, 9)","{1: 0.0923517980268965, 2: 0.09797753576117599, 3: 0.8096706662119276}"
"(9, 10)","(9, 9)","{1: 0.0923517980268965, 2: 0.09797753576117599, 3: 0.8096706662119276}"
"(9, 10)","(9, 9)","{1: 0.0923517980268965, 2: 0.09797753576117599, 3: 0.8096706662119276}"
"(9, 11)","(9, 9)","{1: 0.06046771938994622, 2: 0.06360841883938596, 3: 0.8759238617706678}"
"(9, 12)","(9, 9)","{1: 0.06046771938994622, 2: 0.06360841883938596, 3: 0.8759238617706678}"
"(8, 12)","(9, 9)","{1: 0.06046771938994622, 2: 0.06360841883938596, 3: 0.8759238617706678}"
"(7, 12)","(9, 9)","{1: 0.06046771938994622, 2: 0.06360841883938596, 3: 0.8759238617706678}"
"(6, 12)","(9, 9)","{1: 0.06046771938994622, 2: 0.06360841883938596, 3: 0.8759238617706678}"
"(5, 12)","(9, 9)","{1: 0.03849494530950214, 2: 0.040151758655905284, 3: 0.9213532960345926}"
"(4, 12)","(9, 9)","{1: 0.03849494530950214, 2: 0.040151758655905284, 3: 0.9213532960345926}"
"(3, 12)","(9, 9)","{1: 0.03849494530950214, 2: 0.040151758655905284, 3: 0.9213532960345926}"
"(2, 12)","(9, 9)","{1: 0.03849494530950214, 2: 0.040151758655905284, 3: 0.9213532960345926}"
"(3, 12)","(9, 9)","{1: 0.03849494530950214, 2: 0.040151758655905284, 3: 0.9213532960345926}"
"(4, 12)","(9, 9)","{1: 0.024049918640251855, 2: 0.024872780135800347, 3: 0.9510773012239477}"
"(5, 12)","(9, 9)","{1: 0.024049918640251855, 2: 0.024872780135800347, 3: 0.9510773012239477}"
"(6, 12)","(9, 9)","{1: 0.024049918640251855, 2: 0.024872780135800347, 3: 0.9510773012239477}"
"(7, 12)","(9, 9)","{1: 0.024049918640251855, 2: 0.024872780135800347, 3: 0.9510773012239477}"
"(8, 12)","(9, 9)","{1: 0.024049918640251855, 2: 0.024872780135800347, 3: 0.9510773012239477}"
"(9, 12)","(9, 9)","{1: 0.014844308884267882, 2: 0.015222309795864513, 3: 0.9699333813198677}"
"(9, 11)","(9, 9)","{1: 0.014844308884267882, 2: 0.015222309795864513, 3: 0.9699333813198677}"
"(9, 10)","(9, 9)","{1: 0.014844308884267882, 2: 0.015222309795864513, 3: 0.9699333813198677}"
