watcher_pos,knower_pos,beliefs
"(8, 18)","(9, 3)","{1: 0.3333333333333333, 2: 0.3333333333333333, 3: 0.3333333333333333}"
"(7, 18)","(8, 3)","{1: 0.3333333333333333, 2: 0.3333333333333333, 3: 0.3333333333333333}"
"(6, 18)","(7, 3)","{1: 0.3466567269261004, 2: 0.3499676775216838, 3: 0.3033755955522159}"
"(5, 18)","(6, 3)","{1: 0.3466567269261004, 2: 0.3499676775216838, 3: 0.3033755955522159}"
"(4, 18)","(5, 3)","{1: 0.35887260496350043, 2: 0.3654115154670697, 3: 0.27571587956942994}"
"(3, 18)","(5, 4)","{1: 0.35887260496350043, 2: 0.3654115154670697, 3: 0.27571587956942994}"
"(2, 18)","(4, 4)","{1: 0.3718833433393738, 2: 0.3811622696697388, 3: 0.24695438699088743}"
"(2, 17)","(3, 4)","{1: 0.3718833433393738, 2: 0.3811622696697388, 3: 0.24695438699088743}"
"(2, 16)","(2, 4)","{1: 0.38169247644087173, 2: 0.3936676820039731, 3: 0.22463984155515523}"
"(2, 15)","(2, 3)","{1: 0.38169247644087173, 2: 0.3936676820039731, 3: 0.22463984155515523}"
"(2, 14)","(2, 2)","{1: 0.6849525448718319, 2: 7.090728667560624e-05, 3: 0.3149765478414926}"
"(2, 13)","(2, 3)","{1: 0.6849525448718319, 2: 7.090728667560624e-05, 3: 0.3149765478414926}"
"(2, 12)","(3, 3)","{1: 0.7756299215456535, 2: 7.989906629013952e-05, 3: 0.22429017938805637}"
"(3, 12)","(3, 4)","{1: 0.7756299215456535, 2: 7.989906629013952e-05, 3: 0.22429017938805637}"
"(4, 12)","(4, 4)","{1: 0.7921320143528435, 2: 8.090740948682817e-05, 3: 0.20778707823766962}"
"(5, 12)","(5, 4)","{1: 0.7921320143528435, 2: 8.090740948682817e-05, 3: 0.20778707823766962}"
"(6, 12)","(6, 4)","{1: 0.6980526804364555, 2: 3.78600883302476e-08, 3: 0.30194728170345625}"
"(7, 12)","(6, 5)","{1: 0.6980526804364555, 2: 3.78600883302476e-08, 3: 0.30194728170345625}"
"(8, 12)","(6, 6)","{1: 0.9935916605794558, 2: 5.291904258680062e-08, 3: 0.006408286501501719}"
"(9, 12)","(7, 6)","{1: 0.9935916605794558, 2: 5.291904258680062e-08, 3: 0.006408286501501719}"
"(9, 11)","(8, 6)","{1: 0.9941339290832805, 2: 2.8072854601241944e-11, 3: 0.005866070888646685}"
"(9, 10)","(8, 7)","{1: 0.9941339290832805, 2: 2.8072854601241944e-11, 3: 0.005866070888646685}"
"(9, 10)","(8, 8)","{1: 0.9999120652054085, 2: 2.771529117867195e-11, 3: 8.793476687611536e-05}"
"(9, 10)","(9, 8)","{1: 0.9999120652054085, 2: 2.771529117867195e-11, 3: 8.793476687611536e-05}"
"(9, 10)","(9, 9)","{1: 0.9999195538903195, 2: 3.5874595432152363e-14, 3: 8.044610964459234e-05}"
