watcher_pos,knower_pos,beliefs
"(9, 17)","(9, 3)","{1: 0.5, 2: 0.5}"
"(9, 16)","(8, 3)","{1: 0.4955186496553354, 2: 0.5044813503446646}"
"(9, 15)","(7, 3)","{1: 0.49467991151822654, 2: 0.5053200884817733}"
"(9, 14)","(6, 3)","{1: 0.4937680024798414, 2: 0.5062319975201586}"
"(9, 13)","(5, 3)","{1: 0.4927729162352144, 2: 0.5072270837647855}"
"(9, 12)","(5, 4)","{1: 0.4916827359991674, 2: 0.5083172640008327}"
"(8, 12)","(4, 4)","{1: 0.48974318247624876, 2: 0.5102568175237513}"
"(7, 12)","(3, 4)","{1: 0.49304666401956965, 2: 0.5069533359804302}"
"(6, 12)","(2, 4)","{1: 0.4915720105665535, 2: 0.5084279894334466}"
"(5, 12)","(2, 3)","{1: 0.4899231397897043, 2: 0.5100768602102956}"
"(4, 12)","(2, 2)","{1: 0.5267523698028347, 2: 0.47324763019716537}"
"(3, 12)","(2, 3)","{1: 0.563368914255974, 2: 0.436631085744026}"
"(2, 12)","(3, 3)","{1: 0.5651949882875584, 2: 0.43480501171244157}"
"(3, 12)","(3, 4)","{1: 0.5976556772923799, 2: 0.4023443227076201}"
"(4, 12)","(4, 4)","{1: 0.6017514099891116, 2: 0.3982485900108884}"
"(5, 12)","(5, 4)","{1: 0.6358341835599451, 2: 0.36416581644005486}"
"(6, 12)","(6, 4)","{1: 0.6693045556641501, 2: 0.3306954443358498}"
"(7, 12)","(6, 5)","{1: 0.7021770666924451, 2: 0.2978229333075548}"
"(8, 12)","(6, 6)","{1: 0.7134353004113088, 2: 0.2865646995886912}"
"(9, 12)","(7, 6)","{1: 0.7263712488976809, 2: 0.27362875110231905}"
"(9, 11)","(8, 6)","{1: 0.7632980968502573, 2: 0.23670190314974277}"
"(9, 10)","(8, 7)","{1: 0.7994249823844152, 2: 0.20057501761558483}"
"(9, 10)","(8, 8)","{1: 0.8197232909669736, 2: 0.18027670903302634}"
"(9, 10)","(9, 8)","{1: 0.8434514620791798, 2: 0.15654853792082019}"
"(9, 10)","(9, 9)","{1: 0.881520647813656, 2: 0.11847935218634402}"
