watcher_pos,knower_pos,beliefs
"(8, 18)","(9, 3)","{1: 0.33333333333333337, 2: 0.33333333333333337, 3: 0.33333333333333337}"
"(7, 18)","(8, 3)","{1: 0.33312919118033424, 2: 0.33463851437662057, 3: 0.3322322944430453}"
"(6, 18)","(7, 3)","{1: 0.3335466660726276, 2: 0.3353463507200318, 3: 0.33110698320734055}"
"(5, 18)","(6, 3)","{1: 0.3339869417135861, 2: 0.33610370575691817, 3: 0.32990935252949577}"
"(4, 18)","(5, 3)","{1: 0.3344518626726785, 2: 0.33691624467218706, 3: 0.32863189265513437}"
"(3, 18)","(5, 4)","{1: 0.3349434555011774, 2: 0.33779057376315164, 3: 0.3272659707356709}"
"(2, 18)","(4, 4)","{1: 0.3357918169116337, 2: 0.33932276217338575, 3: 0.3248854209149805}"
"(2, 17)","(3, 4)","{1: 0.3371178995907101, 2: 0.33956829006383077, 3: 0.3233138103454592}"
"(2, 16)","(2, 4)","{1: 0.33770355759362775, 2: 0.34067792724546325, 3: 0.321618515160909}"
"(2, 15)","(2, 3)","{1: 0.33832600998345463, 2: 0.3418902898145415, 3: 0.319783700202004}"
"(2, 14)","(2, 2)","{1: 0.3437742131413657, 2: 0.3348700663985038, 3: 0.3213557204601305}"
"(2, 13)","(2, 3)","{1: 0.3493524540177926, 2: 0.3279868576530547, 3: 0.3226606883291526}"
"(2, 12)","(3, 3)","{1: 0.350974442619118, 2: 0.32887414355310435, 3: 0.3201514138277776}"
"(3, 12)","(3, 4)","{1: 0.3560483635775266, 2: 0.3226539438857287, 3: 0.32129769253674473}"
"(4, 12)","(4, 4)","{1: 0.35792495143292746, 2: 0.32291454748807025, 3: 0.31916050107900223}"
"(5, 12)","(5, 4)","{1: 0.3633258410537957, 2: 0.3160804655609538, 3: 0.32059369338525057}"
"(6, 12)","(6, 4)","{1: 0.3690117226262648, 2: 0.3092769717638086, 3: 0.3217113056099267}"
"(7, 12)","(6, 3)","{1: 0.3754425408652535, 2: 0.30272820707175374, 3: 0.3218292520629927}"
"(8, 12)","(7, 3)","{1: 0.36937846322154005, 2: 0.30231737364242245, 3: 0.3283041631360376}"
"(9, 12)","(8, 3)","{1: 0.37553676703519623, 2: 0.2961128388865773, 3: 0.32835039407822647}"
"(9, 11)","(9, 3)","{1: 0.38224639891352474, 2: 0.2897662233823568, 3: 0.3279873777041184}"
"(9, 10)","(10, 3)","{1: 0.3896787831729011, 2: 0.2831937974690553, 3: 0.3271274193580437}"
"(9, 10)","(10, 2)","{1: 0.3848386364763931, 2: 0.282359836740706, 3: 0.33280152678290087}"
"(9, 10)","(11, 2)","{1: 0.3772517164047159, 2: 0.28274578276040546, 3: 0.34000250083487865}"
"(9, 10)","(12, 2)","{1: 0.3699621672679785, 2: 0.2823526561246421, 3: 0.34768517660737935}"
"(9, 10)","(13, 2)","{1: 0.3632473796992127, 2: 0.2816023809997377, 3: 0.35515023930104944}"
"(9, 10)","(14, 2)","{1: 0.3569733075141778, 2: 0.2805522904341045, 3: 0.3624744020517176}"
"(9, 10)","(15, 2)","{1: 0.3510381795490743, 2: 0.27924201596364734, 3: 0.36971980448727854}"
"(9, 10)","(16, 2)","{1: 0.34536192628564233, 2: 0.27769872619215996, 3: 0.3769393475221977}"
"(9, 10)","(17, 2)","{1: 0.33987934646951007, 2: 0.2759403793681145, 3: 0.38418027416237543}"
"(9, 10)","(18, 2)","{1: 0.33579570143503756, 2: 0.2739913584869063, 3: 0.3902129400780562}"
"(9, 10)","(17, 2)","{1: 0.32638183681006927, 2: 0.2740490750900602, 3: 0.3995690880998705}"
"(9, 10)","(16, 2)","{1: 0.32280127180075635, 2: 0.2731325284765937, 3: 0.4040661997226499}"
"(9, 10)","(15, 2)","{1: 0.31664166275463707, 2: 0.2730407660838322, 3: 0.4103175711615307}"
"(9, 10)","(15, 3)","{1: 0.31110703800912387, 2: 0.27337220138024443, 3: 0.41552076061063165}"
"(9, 10)","(14, 3)","{1: 0.30654779435996865, 2: 0.27362260536347655, 3: 0.4198296002765547}"
"(9, 10)","(14, 4)","{1: 0.30083405669756463, 2: 0.27408203286492516, 3: 0.4250839104375102}"
"(9, 10)","(13, 4)","{1: 0.2950888577123955, 2: 0.2743659535957902, 3: 0.43054518869181435}"
"(9, 10)","(13, 5)","{1: 0.28924402694033474, 2: 0.2744043449527865, 3: 0.4363516281068788}"
"(9, 10)","(13, 6)","{1: 0.2832472468256094, 2: 0.2741548095527629, 3: 0.44259794362162774}"
"(9, 10)","(13, 7)","{1: 0.2770340001999962, 2: 0.27355800269766767, 3: 0.44940799710233614}"
"(9, 10)","(12, 7)","{1: 0.270520762431832, 2: 0.2725295315899791, 3: 0.4569497059781889}"
"(9, 10)","(12, 8)","{1: 0.2635936074099003, 2: 0.27094612217251035, 3: 0.4654602704175894}"
"(9, 10)","(12, 9)","{1: 0.2560877115589203, 2: 0.2686205188505718, 3: 0.4752917695905079}"
"(9, 10)","(11, 9)","{1: 0.24898157502679022, 2: 0.2615911000743492, 3: 0.4894273248988606}"
"(9, 10)","(10, 9)","{1: 0.23436162165670207, 2: 0.25259876385039515, 3: 0.5130396144929028}"
"(9, 10)","(9, 9)","{1: 0.21694526119046242, 2: 0.2398949306744083, 3: 0.5431598081351294}"
"(9, 10)","(9, 9)","{1: 0.1944977496521252, 2: 0.22069145096430964, 3: 0.5848107993835651}"
"(9, 10)","(9, 9)","{1: 0.17928885154164043, 2: 0.20304682270329363, 3: 0.6176643257550659}"
"(9, 10)","(9, 9)","{1: 0.1645377500928494, 2: 0.18598608416824716, 3: 0.6494761657389034}"
"(9, 10)","(9, 9)","{1: 0.15035594207358557, 2: 0.16963188025237838, 3: 0.680012177674036}"
"(9, 10)","(9, 9)","{1: 0.13683599422298187, 2: 0.15408459296877816, 3: 0.7090794128082399}"
"(9, 10)","(9, 9)","{1: 0.1240500499545301, 2: 0.13942087066024902, 3: 0.7365290793852208}"
"(9, 10)","(9, 9)","{1: 0.11204952443567112, 2: 0.12569350829478584, 3: 0.762256967269543}"
"(9, 10)","(9, 9)","{1: 0.10086584623285065, 2: 0.11293250217359341, 3: 0.7862016515935559}"
"(9, 10)","(9, 9)","{1: 0.09051203471993277, 2: 0.10114702783666381, 3: 0.8083409374434033}"
"(9, 11)","(9, 9)","{1: 0.08098486977329344, 2: 0.09032805721551686, 3: 0.8286870730111897}"
"(9, 12)","(9, 9)","{1: 0.07226741023862943, 2: 0.08045133527277656, 3: 0.8472812544885939}"
"(8, 12)","(9, 9)","{1: 0.06433164241293639, 2: 0.07148046807527315, 3: 0.8641878895117905}"
"(7, 12)","(9, 9)","{1: 0.057141079902382715, 2: 0.06336992248008948, 3: 0.8794889976175277}"
"(6, 12)","(9, 9)","{1: 0.05065318276064738, 2: 0.05606779216458051, 3: 0.8932790250747721}"
"(5, 12)","(9, 9)","{1: 0.04482150967487617, 2: 0.0495182376212201, 3: 0.9056602527039038}"
"(4, 12)","(9, 9)","{1: 0.03959755738721549, 2: 0.043663553739733706, 3: 0.9167388888730509}"
"(3, 12)","(9, 9)","{1: 0.034932274018275124, 2: 0.03844585508289465, 3: 0.9266218708988303}"
"(2, 12)","(9, 9)","{1: 0.03077725680995276, 2: 0.03380839535010288, 3: 0.9354143478399445}"
"(3, 12)","(9, 9)","{1: 0.027085660586899093, 2: 0.029696554612687134, 3: 0.9432177848004137}"
"(4, 12)","(9, 9)","{1: 0.023812852206651147, 2: 0.026058537246368613, 3: 0.9501286105469802}"
"(5, 12)","(9, 9)","{1: 0.020916849956503385, 2: 0.022845826893619536, 3: 0.9562373231498771}"
"(6, 12)","(9, 9)","{1: 0.01835858676654974, 2: 0.020013444015007587, 3: 0.9616279692184426}"
"(7, 12)","(9, 9)","{1: 0.01610203355885753, 2: 0.01752004814480464, 3: 0.9663779182963378}"
"(8, 12)","(9, 9)","{1: 0.014114215096032721, 2: 0.01532792204731182, 3: 0.9705578628566556}"
"(9, 12)","(9, 9)","{1: 0.012365146111680988, 2: 0.013402869454036482, 3: 0.9742319844342825}"
"(9, 11)","(9, 9)","{1: 0.010827710841424228, 2: 0.011714052545445577, 3: 0.9774582366131302}"
"(9, 10)","(9, 9)","{1: 0.00947750466935079, 2: 0.010233790195922363, 3: 0.9802887051347268}"
