watcher_pos,knower_pos,beliefs
"(8, 18)","(9, 3)","{1: 0.3333333333333333, 2: 0.3333333333333333, 3: 0.3333333333333333}"
"(7, 18)","(8, 3)","{1: 0.292996508404075, 2: 0.435091028667504, 3: 0.27191246292842103}"
"(6, 18)","(7, 3)","{1: 0.3019939628675563, 2: 0.4527351852322605, 3: 0.24527085190018327}"
"(6, 17)","(6, 3)","{1: 0.3101189547313815, 2: 0.46914029980940264, 3: 0.2207407454592158}"
"(6, 16)","(5, 3)","{1: 0.3173954706524643, 2: 0.48427134672171024, 3: 0.19833318262582544}"
"(6, 15)","(5, 4)","{1: 0.32386549386635954, 2: 0.49812321466067017, 3: 0.17801129147297037}"
"(6, 14)","(4, 4)","{1: 0.32386549386635954, 2: 0.49812321466067017, 3: 0.17801129147297037}"
"(6, 13)","(3, 4)","{1: 0.32386549386635954, 2: 0.49812321466067017, 3: 0.17801129147297037}"
"(6, 12)","(2, 4)","{1: 0.32950826213712847, 2: 0.5099779488516862, 3: 0.16051378901118524}"
"(7, 12)","(2, 3)","{1: 0.33450891881235073, 2: 0.5206251670234688, 3: 0.1448659141641804}"
"(6, 12)","(2, 2)","{1: 0.7470854599606226, 2: 0.00011670835847742786, 3: 0.2527978316808999}"
"(5, 12)","(2, 3)","{1: 0.7470854599606226, 2: 0.00011670835847742786, 3: 0.2527978316808999}"
"(4, 12)","(3, 3)","{1: 0.8244427769516576, 2: 0.00012815895576343225, 3: 0.17542906409257897}"
"(3, 12)","(3, 4)","{1: 0.8388351766005484, 2: 4.3528899963939094e-08, 3: 0.1611647798705516}"
"(2, 12)","(4, 4)","{1: 0.8388351766005484, 2: 4.3528899963939094e-08, 3: 0.1611647798705516}"
"(3, 12)","(5, 4)","{1: 0.8388351766005484, 2: 4.3528899963939094e-08, 3: 0.1611647798705516}"
"(4, 12)","(6, 4)","{1: 0.8388351766005484, 2: 4.3528899963939094e-08, 3: 0.1611647798705516}"
"(5, 12)","(6, 5)","{1: 0.8388351766005484, 2: 4.3528899963939094e-08, 3: 0.1611647798705516}"
"(6, 12)","(6, 6)","{1: 0.997143396888363, 2: 5.081235132494868e-08, 3: 0.0028565522992856605}"
"(7, 12)","(7, 6)","{1: 0.997143396888363, 2: 5.081235132494868e-08, 3: 0.0028565522992856605}"
"(8, 12)","(8, 6)","{1: 0.997143396888363, 2: 5.081235132494868e-08, 3: 0.0028565522992856605}"
"(9, 12)","(8, 7)","{1: 0.997143396888363, 2: 5.081235132494868e-08, 3: 0.0028565522992856605}"
"(9, 11)","(8, 8)","{1: 0.997143396888363, 2: 5.081235132494868e-08, 3: 0.0028565522992856605}"
"(9, 10)","(9, 8)","{1: 0.997143396888363, 2: 5.081235132494868e-08, 3: 0.0028565522992856605}"
"(9, 10)","(9, 9)","{1: 0.997143396888363, 2: 5.081235132494868e-08, 3: 0.0028565522992856605}"
