watcher_pos,knower_pos,beliefs
"(8, 18)","(8, 2)","{1: 0.33333333333333337, 2: 0.33333333333333337, 3: 0.33333333333333337}"
"(7, 18)","(7, 2)","{1: 0.33333333333333337, 2: 0.33333333333333337, 3: 0.33333333333333337}"
"(6, 18)","(6, 2)","{1: 0.33333333333333337, 2: 0.33333333333333337, 3: 0.33333333333333337}"
"(5, 18)","(5, 2)","{1: 0.33333333333333337, 2: 0.33333333333333337, 3: 0.33333333333333337}"
"(4, 18)","(4, 2)","{1: 0.4001774788523123, 2: 0.20008901814857838, 3: 0.3997335029991094}"
"(3, 18)","(3, 2)","{1: 0.4001774788523123, 2: 0.20008901814857838, 3: 0.3997335029991094}"
"(2, 18)","(2, 2)","{1: 0.4001774788523123, 2: 0.20008901814857838, 3: 0.3997335029991094}"
"(2, 17)","(2, 3)","{1: 0.4001774788523123, 2: 0.20008901814857838, 3: 0.3997335029991094}"
"(2, 16)","(3, 3)","{1: 0.49999955036828514, 2: 0.5000002196971599, 3: 2.2993455498457442e-07}"
"(2, 15)","(3, 4)","{1: 0.49999955036828514, 2: 0.5000002196971599, 3: 2.2993455498457442e-07}"
"(2, 14)","(4, 4)","{1: 0.49999955036828514, 2: 0.5000002196971599, 3: 2.2993455498457442e-07}"
"(2, 13)","(5, 4)","{1: 0.49999955036828514, 2: 0.5000002196971599, 3: 2.2993455498457442e-07}"
"(2, 12)","(6, 4)","{1: 0.9999995402319597, 2: 1.495234270957691e-15, 3: 4.597680389466895e-07}"
"(3, 12)","(6, 5)","{1: 0.9999995402319597, 2: 1.495234270957691e-15, 3: 4.597680389466895e-07}"
"(4, 12)","(6, 6)","{1: 0.9999995402319597, 2: 1.495234270957691e-15, 3: 4.597680389466895e-07}"
"(5, 12)","(7, 6)","{1: 0.9999995402319597, 2: 1.495234270957691e-15, 3: 4.597680389466895e-07}"
"(6, 12)","(8, 6)","{1: 0.9999995403332119, 2: 2.235723560203683e-30, 3: 4.596667881394646e-07}"
"(6, 11)","(8, 7)","{1: 0.9999995403332119, 2: 2.235723560203683e-30, 3: 4.596667881394646e-07}"
"(7, 11)","(8, 8)","{1: 0.9999995403332119, 2: 2.235723560203683e-30, 3: 4.596667881394646e-07}"
"(8, 11)","(9, 8)","{1: 0.9999995403332119, 2: 2.235723560203683e-30, 3: 4.596667881394646e-07}"
"(9, 11)","(9, 9)","{1: 0.9999995404344404, 2: 1.855868003644567e-43, 3: 4.595655596298333e-07}"
"(9, 10)","(9, 9)","{1: 0.9999995404344404, 2: 1.855868003644567e-43, 3: 4.595655596298333e-07}"
