watcher_pos,knower_pos,beliefs
"(9, 17)","(9, 3)","{1: 0.5, 2: 0.5}"
"(9, 16)","(8, 3)","{1: 0.40241934312257044, 2: 0.5975806568774295}"
"(9, 15)","(7, 3)","{1: 0.4001355501213742, 2: 0.5998644498786257}"
"(9, 14)","(6, 3)","{1: 0.3979663416562617, 2: 0.6020336583437382}"
"(9, 13)","(5, 3)","{1: 0.3959194315814139, 2: 0.604080568418586}"
"(9, 12)","(5, 4)","{1: 0.39400236342262335, 2: 0.6059976365773766}"
"(10, 12)","(4, 4)","{1: 0.39400236342262335, 2: 0.6059976365773766}"
"(11, 12)","(3, 4)","{1: 0.39400236342262335, 2: 0.6059976365773766}"
"(12, 12)","(2, 4)","{1: 0.3925118219023598, 2: 0.6074881780976402}"
"(13, 12)","(1, 4)","{1: 0.39117715496675254, 2: 0.6088228450332475}"
"(14, 12)","(1, 5)","{1: 0.0008371663600354343, 2: 0.9991628336399646}"
"(15, 12)","(1, 6)","{1: 0.0008371663600354343, 2: 0.9991628336399646}"
"(16, 12)","(2, 6)","{1: 0.0008371663600354343, 2: 0.9991628336399646}"
"(17, 12)","(2, 7)","{1: 3.1045577656009003e-06, 2: 0.9999968954422344}"
"(18, 12)","(3, 7)","{1: 3.1045577656009003e-06, 2: 0.9999968954422344}"
"(17, 12)","(3, 8)","{1: 8.960930655312516e-09, 2: 0.9999999910390693}"
"(16, 12)","(3, 9)","{1: 8.960930655312516e-09, 2: 0.9999999910390693}"
"(15, 12)","(4, 9)","{1: 2.5153018418696756e-11, 2: 0.999999999974847}"
"(14, 12)","(5, 9)","{1: 2.5153018418696756e-11, 2: 0.999999999974847}"
"(13, 12)","(6, 9)","{1: 2.5153018418696756e-11, 2: 0.999999999974847}"
"(12, 12)","(7, 9)","{1: 2.5153018418696756e-11, 2: 0.999999999974847}"
"(11, 12)","(8, 9)","{1: 2.5153018418696756e-11, 2: 0.999999999974847}"
"(10, 12)","(9, 9)","{1: 2.5153018418696756e-11, 2: 0.999999999974847}"
"(9, 12)","(9, 9)","{1: 2.5153018418696756e-11, 2: 0.999999999974847}"
"(9, 11)","(9, 9)","{1: 2.5153018418696756e-11, 2: 0.999999999974847}"
"(9, 10)","(9, 9)","{1: 2.5153018418696756e-11, 2: 0.999999999974847}"
