watcher_pos,knower_pos,beliefs
"(8, 18)","(8, 2)","{1: 0.3333333333333333, 2: 0.3333333333333333, 3: 0.3333333333333333}"
"(7, 18)","(7, 2)","{1: 0.33825241587321786, 2: 0.33256483860922414, 3: 0.32918274551755805}"
"(6, 18)","(6, 2)","{1: 0.3435052890053725, 2: 0.33180188905889035, 3: 0.324692821935737}"
"(5, 18)","(5, 2)","{1: 0.3491286559012952, 2: 0.33104381856847903, 3: 0.31982752553022575}"
"(4, 18)","(4, 2)","{1: 0.35516478477785185, 2: 0.33028940068274243, 3: 0.31454581453940567}"
"(3, 18)","(3, 2)","{1: 0.3616625934485479, 2: 0.3295366234359685, 3: 0.3088007831154837}"
"(2, 18)","(2, 2)","{1: 0.3686789943746557, 2: 0.3287823760794263, 3: 0.3025386295459181}"
"(2, 17)","(3, 2)","{1: 0.3762805751184354, 2: 0.3280220102723343, 3: 0.29569741460923044}"
"(2, 16)","(4, 2)","{1: 0.39175222861395476, 2: 0.3074829292952201, 3: 0.3007648420908251}"
"(2, 15)","(5, 2)","{1: 0.41076250933738756, 2: 0.2821310735962141, 3: 0.30710641706639846}"
"(2, 14)","(6, 2)","{1: 0.4299970590543038, 2: 0.25811827756356326, 3: 0.3118846633821329}"
"(2, 13)","(7, 2)","{1: 0.44969073431188467, 2: 0.23531694622977686, 3: 0.31499231945833833}"
"(2, 12)","(8, 2)","{1: 0.4701181554441906, 2: 0.2136054731579507, 3: 0.31627637139785875}"
"(3, 12)","(9, 2)","{1: 0.49160956352839424, 2: 0.19286529788603304, 3: 0.3155251385855727}"
"(4, 12)","(10, 2)","{1: 0.5145730424205326, 2: 0.17297746173187506, 3: 0.3124494958475924}"
"(5, 12)","(11, 2)","{1: 0.49112883770049265, 2: 0.16998522503381863, 3: 0.3388859372656887}"
"(6, 12)","(12, 2)","{1: 0.45652160312189555, 2: 0.16981993266204798, 3: 0.3736584642160566}"
"(7, 12)","(13, 2)","{1: 0.4242625493595156, 2: 0.16789121894264034, 3: 0.407846231697844}"
"(8, 12)","(14, 2)","{1: 0.3939739866134334, 2: 0.1645150380621354, 3: 0.4415109753244312}"
"(9, 12)","(15, 2)","{1: 0.3653685064603148, 2: 0.15994454555917376, 3: 0.47468694798051153}"
"(9, 11)","(16, 2)","{1: 0.3382261188836147, 2: 0.15438668376633083, 3: 0.5073871973500544}"
"(9, 10)","(17, 2)","{1: 0.31237804144752346, 2: 0.14801389171283513, 3: 0.5396080668396415}"
"(9, 10)","(18, 2)","{1: 0.2929599089698029, 2: 0.14153678062240516, 3: 0.565503310407792}"
"(9, 10)","(17, 2)","{1: 0.25484710999709115, 2: 0.1381872862140134, 3: 0.6069656037888955}"
"(9, 10)","(16, 2)","{1: 0.24045556757218792, 2: 0.13479871809416255, 3: 0.6247457143336496}"
"(9, 10)","(15, 2)","{1: 0.2180584893921948, 2: 0.13228979625979903, 3: 0.6496517143480062}"
"(9, 10)","(15, 3)","{1: 0.19930782819819254, 2: 0.1308210665590537, 3: 0.6698711052427537}"
"(9, 10)","(14, 3)","{1: 0.18474820832685382, 2: 0.12944385164087663, 3: 0.6858079400322696}"
"(9, 10)","(14, 4)","{1: 0.16773695436293623, 2: 0.12794218175560337, 3: 0.7043208638814604}"
"(9, 10)","(13, 4)","{1: 0.1516065829676649, 2: 0.1257931505796729, 3: 0.7226002664526622}"
"(9, 10)","(13, 5)","{1: 0.13625290837035214, 2: 0.12291185228577749, 3: 0.7408352393438703}"
"(9, 10)","(13, 6)","{1: 0.12160432973933272, 2: 0.11923109612479954, 3: 0.7591645741358677}"
"(9, 10)","(13, 7)","{1: 0.10759425272353149, 2: 0.11466515600933114, 3: 0.7777405912671373}"
"(9, 10)","(12, 7)","{1: 0.09415997733928312, 2: 0.10910536728393444, 3: 0.7967346553767825}"
"(9, 10)","(12, 8)","{1: 0.08109329884376552, 2: 0.10405346524154474, 3: 0.8148532359146897}"
"(9, 11)","(12, 9)","{1: 0.06916998703362424, 2: 0.08930242870250572, 3: 0.8415275842638701}"
"(9, 12)","(11, 9)","{1: 0.057449896056546094, 2: 0.0731695179931145, 3: 0.8693805859503394}"
"(8, 12)","(10, 9)","{1: 0.03982752873162, 2: 0.05615462435733353, 3: 0.9040178469110464}"
"(7, 12)","(9, 9)","{1: 0.025154229588959947, 2: 0.039270612586524256, 3: 0.9355751578245158}"
"(6, 12)","(9, 9)","{1: 0.013615543887643482, 2: 0.023549458260271435, 3: 0.9628349978520852}"
"(5, 12)","(9, 9)","{1: 0.008364258508285444, 2: 0.014344427752319465, 3: 0.9772913137393952}"
"(4, 12)","(9, 9)","{1: 0.005108469454307037, 2: 0.008686732253408947, 3: 0.986204798292284}"
"(3, 12)","(9, 9)","{1: 0.003108866768049059, 2: 0.005241765637407833, 3: 0.991649367594543}"
"(2, 12)","(9, 9)","{1: 0.0018878528512296026, 2: 0.0031561198249188682, 3: 0.9949560273238515}"
"(3, 12)","(9, 9)","{1: 0.0011448829521693749, 2: 0.001897825535168351, 3: 0.9969572915126623}"
"(4, 12)","(9, 9)","{1: 0.0006937573084761422, 2: 0.0011402829289418276, 3: 0.998165959762582}"
"(5, 12)","(9, 9)","{1: 0.00042018925680376663, 2: 0.0006847938475452889, 3: 0.998895016895651}"
"(6, 12)","(9, 9)","{1: 0.0002544229222041023, 2: 0.0004111317302883975, 3: 0.9993344453475075}"
"(7, 12)","(9, 9)","{1: 0.00015402511959107903, 2: 0.0002467892103415541, 3: 0.9995991856700673}"
"(8, 12)","(9, 9)","{1: 9.323545807176899e-05, 2: 0.0001481240495584976, 3: 0.9997586404923697}"
"(9, 12)","(9, 9)","{1: 5.6434294758192845e-05, 2: 8.889911225227759e-05, 3: 0.9998546665929895}"
"(9, 11)","(9, 9)","{1: 3.4157690501967296e-05, 2: 5.33522421083582e-05, 3: 0.9999124900673897}"
"(9, 10)","(9, 9)","{1: 2.067397100957401e-05, 2: 3.201827520339292e-05, 3: 0.999947307753787}"
