watcher_pos,knower_pos,beliefs
"(9, 17)","(9, 3)","{1: 0.5, 2: 0.5}"
"(9, 16)","(8, 3)","{1: 0.44329637553225704, 2: 0.5567036244677429}"
"(9, 15)","(7, 3)","{1: 0.4362550312016526, 2: 0.5637449687983473}"
"(9, 14)","(6, 3)","{1: 0.4362550312016526, 2: 0.5637449687983473}"
"(9, 13)","(5, 3)","{1: 0.4362550312016526, 2: 0.5637449687983473}"
"(9, 12)","(5, 4)","{1: 0.4362550312016526, 2: 0.5637449687983473}"
"(10, 12)","(4, 4)","{1: 0.4362550312016526, 2: 0.5637449687983473}"
"(11, 12)","(3, 4)","{1: 0.4362550312016526, 2: 0.5637449687983473}"
"(12, 12)","(2, 4)","{1: 0.4362550312016526, 2: 0.5637449687983473}"
"(13, 12)","(1, 4)","{1: 0.4362550312016526, 2: 0.5637449687983473}"
"(14, 12)","(1, 5)","{1: 0.14556803777014768, 2: 0.8544319622298523}"
"(15, 12)","(1, 6)","{1: 0.14556803777014768, 2: 0.8544319622298523}"
"(16, 12)","(2, 6)","{1: 0.14556803777014768, 2: 0.8544319622298523}"
"(17, 12)","(2, 7)","{1: 0.14556803777014768, 2: 0.8544319622298523}"
"(18, 12)","(3, 7)","{1: 0.14556803777014768, 2: 0.8544319622298523}"
"(17, 12)","(3, 8)","{1: 0.14556803777014768, 2: 0.8544319622298523}"
"(16, 12)","(3, 9)","{1: 0.14556803777014768, 2: 0.8544319622298523}"
"(15, 12)","(4, 9)","{1: 0.14556803777014768, 2: 0.8544319622298523}"
"(14, 12)","(5, 9)","{1: 0.14556803777014768, 2: 0.8544319622298523}"
"(13, 12)","(6, 9)","{1: 0.14556803777014768, 2: 0.8544319622298523}"
"(12, 12)","(7, 9)","{1: 0.14556803777014768, 2: 0.8544319622298523}"
"(11, 12)","(8, 9)","{1: 0.14556803777014768, 2: 0.8544319622298523}"
"(10, 12)","(9, 9)","{1: 0.14556803777014768, 2: 0.8544319622298523}"
"(9, 12)","(9, 9)","{1: 0.14556803777014768, 2: 0.8544319622298523}"
"(9, 11)","(9, 9)","{1: 0.14556803777014768, 2: 0.8544319622298523}"
"(9, 10)","(9, 9)","{1: 0.14556803777014768, 2: 0.8544319622298523}"
