watcher_pos,knower_pos,beliefs
"(8, 18)","(9, 3)","{1: 0.3333333333333333, 2: 0.3333333333333333, 3: 0.3333333333333333}"
"(7, 18)","(8, 3)","{1: 0.3333333333333333, 2: 0.3333333333333333, 3: 0.3333333333333333}"
"(6, 18)","(7, 3)","{1: 0.3333333333333333, 2: 0.3333333333333333, 3: 0.3333333333333333}"
"(5, 18)","(6, 3)","{1: 0.3333333333333333, 2: 0.3333333333333333, 3: 0.3333333333333333}"
"(4, 18)","(5, 3)","{1: 0.3333333333333333, 2: 0.3333333333333333, 3: 0.3333333333333333}"
"(3, 18)","(5, 4)","{1: 0.3463010776072507, 2: 0.3490903935173079, 3: 0.3046085288754414}"
"(2, 18)","(4, 4)","{1: 0.3463010776072507, 2: 0.3490903935173079, 3: 0.3046085288754414}"
"(2, 17)","(3, 4)","{1: 0.3463010776072507, 2: 0.3490903935173079, 3: 0.3046085288754414}"
"(2, 16)","(2, 4)","{1: 0.3463010776072507, 2: 0.3490903935173079, 3: 0.3046085288754414}"
"(2, 15)","(2, 3)","{1: 0.3463010776072507, 2: 0.3490903935173079, 3: 0.3046085288754414}"
"(2, 14)","(2, 2)","{1: 0.592634842737355, 2: 5.996329041882919e-05, 3: 0.40730519397222625}"
"(2, 13)","(2, 3)","{1: 0.592634842737355, 2: 5.996329041882919e-05, 3: 0.40730519397222625}"
"(2, 12)","(3, 3)","{1: 0.592634842737355, 2: 5.996329041882919e-05, 3: 0.40730519397222625}"
"(3, 12)","(3, 4)","{1: 0.592634842737355, 2: 5.996329041882919e-05, 3: 0.40730519397222625}"
"(2, 12)","(4, 4)","{1: 0.592634842737355, 2: 5.996329041882919e-05, 3: 0.40730519397222625}"
"(3, 12)","(5, 4)","{1: 0.47179278791758006, 2: 1.5889123975514445e-08, 3: 0.528207196193296}"
"(2, 12)","(6, 4)","{1: 0.47179278791758006, 2: 1.5889123975514445e-08, 3: 0.528207196193296}"
"(3, 12)","(6, 3)","{1: 0.47179278791758006, 2: 1.5889123975514445e-08, 3: 0.528207196193296}"
"(2, 12)","(7, 3)","{1: 0.47179278791758006, 2: 1.5889123975514445e-08, 3: 0.528207196193296}"
"(3, 12)","(8, 3)","{1: 0.47179278791758006, 2: 1.5889123975514445e-08, 3: 0.528207196193296}"
"(2, 12)","(9, 3)","{1: 0.48801793049246756, 2: 3.609121601787867e-11, 3: 0.5119820694714412}"
"(3, 12)","(10, 3)","{1: 0.48801793049246756, 2: 3.609121601787867e-11, 3: 0.5119820694714412}"
"(2, 12)","(10, 2)","{1: 0.48801793049246756, 2: 3.609121601787867e-11, 3: 0.5119820694714412}"
"(3, 12)","(11, 2)","{1: 0.48801793049246756, 2: 3.609121601787867e-11, 3: 0.5119820694714412}"
"(2, 12)","(12, 2)","{1: 0.48801793049246756, 2: 3.609121601787867e-11, 3: 0.5119820694714412}"
"(3, 12)","(13, 2)","{1: 1.42973091966735e-06, 2: 2.6621981864372955e-13, 3: 0.9999985702688141}"
"(2, 12)","(14, 2)","{1: 1.42973091966735e-06, 2: 2.6621981864372955e-13, 3: 0.9999985702688141}"
"(3, 12)","(15, 2)","{1: 1.42973091966735e-06, 2: 2.6621981864372955e-13, 3: 0.9999985702688141}"
"(4, 12)","(16, 2)","{1: 1.42973091966735e-06, 2: 2.6621981864372955e-13, 3: 0.9999985702688141}"
"(5, 12)","(17, 2)","{1: 1.42973091966735e-06, 2: 2.6621981864372955e-13, 3: 0.9999985702688141}"
"(6, 12)","(18, 2)","{1: 3.7941973383673655e-10, 2: 4.030018215927337e-15, 3: 0.9999999996205762}"
"(7, 12)","(17, 2)","{1: 3.7941973383673655e-10, 2: 4.030018215927337e-15, 3: 0.9999999996205762}"
"(8, 12)","(16, 2)","{1: 3.7941973383673655e-10, 2: 4.030018215927337e-15, 3: 0.9999999996205762}"
"(9, 12)","(15, 2)","{1: 3.7941973383673655e-10, 2: 4.030018215927337e-15, 3: 0.9999999996205762}"
"(9, 11)","(15, 3)","{1: 3.7941973383673655e-10, 2: 4.030018215927337e-15, 3: 0.9999999996205762}"
"(9, 10)","(14, 3)","{1: 1.4099630933914834e-12, 2: 3.773744827120897e-15, 3: 0.9999999999985862}"
"(9, 10)","(14, 4)","{1: 1.4099630933914834e-12, 2: 3.773744827120897e-15, 3: 0.9999999999985862}"
"(9, 10)","(13, 4)","{1: 1.4099630933914834e-12, 2: 3.773744827120897e-15, 3: 0.9999999999985862}"
"(9, 10)","(13, 5)","{1: 1.4099630933914834e-12, 2: 3.773744827120897e-15, 3: 0.9999999999985862}"
"(9, 10)","(13, 6)","{1: 1.4099630933914834e-12, 2: 3.773744827120897e-15, 3: 0.9999999999985862}"
"(9, 10)","(13, 7)","{1: 8.064442800407678e-15, 2: 3.612443165743773e-15, 3: 0.9999999999999883}"
"(9, 10)","(12, 7)","{1: 8.064442800407678e-15, 2: 3.612443165743773e-15, 3: 0.9999999999999883}"
"(9, 10)","(12, 8)","{1: 8.064442800407678e-15, 2: 3.612443165743773e-15, 3: 0.9999999999999883}"
"(9, 10)","(12, 9)","{1: 8.064442800407678e-15, 2: 3.612443165743773e-15, 3: 0.9999999999999883}"
"(9, 10)","(11, 9)","{1: 8.064442800407678e-15, 2: 3.612443165743773e-15, 3: 0.9999999999999883}"
"(9, 10)","(10, 9)","{1: 1.2419384293091492e-17, 2: 1.7879396494289555e-15, 3: 0.9999999999999982}"
"(9, 10)","(9, 9)","{1: 1.2419384293091492e-17, 2: 1.7879396494289555e-15, 3: 0.9999999999999982}"
