watcher_pos,knower_pos,beliefs
"(9, 17)","(8, 2)","{1: 0.5, 2: 0.5}"
"(9, 16)","(7, 2)","{1: 0.5711663382481256, 2: 0.4288336617518745}"
"(9, 15)","(6, 2)","{1: 0.6423151245517685, 2: 0.3576848754482315}"
"(9, 14)","(5, 2)","{1: 0.7104152455267531, 2: 0.28958475447324683}"
"(9, 13)","(4, 2)","{1: 0.7726941131001267, 2: 0.22730588689987327}"
"(9, 12)","(3, 2)","{1: 0.8270887853368469, 2: 0.17291121466315318}"
"(8, 12)","(2, 2)","{1: 0.8270887853368469, 2: 0.17291121466315318}"
"(7, 12)","(2, 3)","{1: 0.8270887853368469, 2: 0.17291121466315318}"
"(6, 12)","(3, 3)","{1: 0.7630559030916301, 2: 0.23694409690836993}"
"(5, 12)","(3, 4)","{1: 0.9507320675344414, 2: 0.04926793246555865}"
"(4, 12)","(4, 4)","{1: 0.9528753900994618, 2: 0.047124609900538225}"
"(3, 12)","(5, 4)","{1: 0.995232031508647, 2: 0.004767968491352936}"
"(2, 12)","(6, 4)","{1: 0.9994851303017108, 2: 0.0005148696982892523}"
"(3, 12)","(6, 5)","{1: 0.9999396405626152, 2: 6.035943738490535e-05}"
"(4, 12)","(6, 6)","{1: 0.9999500912967483, 2: 4.990870325167115e-05}"
"(5, 12)","(7, 6)","{1: 0.9999588815891137, 2: 4.111841088626177e-05}"
"(6, 12)","(8, 6)","{1: 0.9999959928422333, 2: 4.007157766797661e-06}"
"(7, 12)","(8, 7)","{1: 0.9999995724042886, 2: 4.2759571143937044e-07}"
"(8, 12)","(8, 8)","{1: 0.9999996754359955, 2: 3.245640044589452e-07}"
"(9, 12)","(9, 8)","{1: 0.9999996754359955, 2: 3.245640044589452e-07}"
"(9, 11)","(9, 9)","{1: 0.9999996754359955, 2: 3.245640044589452e-07}"
"(9, 10)","(9, 9)","{1: 0.9999996754359955, 2: 3.245640044589452e-07}"
