watcher_pos,knower_pos,beliefs
"(8, 18)","(9, 3)","{1: 0.33333333333333337, 2: 0.33333333333333337, 3: 0.33333333333333337}"
"(7, 18)","(8, 3)","{1: 0.33333333333333337, 2: 0.33333333333333337, 3: 0.33333333333333337}"
"(6, 18)","(7, 3)","{1: 0.33333333333333337, 2: 0.33333333333333337, 3: 0.33333333333333337}"
"(5, 18)","(6, 3)","{1: 0.33333333333333337, 2: 0.33333333333333337, 3: 0.33333333333333337}"
"(4, 18)","(5, 3)","{1: 0.35136088422671247, 2: 0.36266981197025766, 3: 0.28596930380302993}"
"(3, 18)","(5, 4)","{1: 0.35136088422671247, 2: 0.36266981197025766, 3: 0.28596930380302993}"
"(2, 18)","(4, 4)","{1: 0.35136088422671247, 2: 0.36266981197025766, 3: 0.28596930380302993}"
"(2, 17)","(3, 4)","{1: 0.35136088422671247, 2: 0.36266981197025766, 3: 0.28596930380302993}"
"(2, 16)","(2, 4)","{1: 0.36924852213808473, 2: 0.3962593270593691, 3: 0.23449215080254615}"
"(2, 15)","(2, 3)","{1: 0.36924852213808473, 2: 0.3962593270593691, 3: 0.23449215080254615}"
"(2, 14)","(2, 2)","{1: 0.36924852213808473, 2: 0.3962593270593691, 3: 0.23449215080254615}"
"(2, 13)","(2, 3)","{1: 0.36924852213808473, 2: 0.3962593270593691, 3: 0.23449215080254615}"
"(2, 12)","(3, 3)","{1: 0.4111738185324295, 2: 0.4227257496855696, 3: 0.16610043178200098}"
"(3, 12)","(3, 4)","{1: 0.4111738185324295, 2: 0.4227257496855696, 3: 0.16610043178200098}"
"(4, 12)","(4, 4)","{1: 0.4111738185324295, 2: 0.4227257496855696, 3: 0.16610043178200098}"
"(5, 12)","(5, 4)","{1: 0.4111738185324295, 2: 0.4227257496855696, 3: 0.16610043178200098}"
"(6, 12)","(6, 4)","{1: 0.6767607564196424, 2: 0.09212535202686085, 3: 0.23111389155349668}"
"(7, 12)","(6, 3)","{1: 0.6767607564196424, 2: 0.09212535202686085, 3: 0.23111389155349668}"
"(8, 12)","(7, 3)","{1: 0.6767607564196424, 2: 0.09212535202686085, 3: 0.23111389155349668}"
"(9, 12)","(8, 3)","{1: 0.6767607564196424, 2: 0.09212535202686085, 3: 0.23111389155349668}"
"(9, 11)","(9, 3)","{1: 0.795047039829693, 2: 0.018104522778394333, 3: 0.18684843739191254}"
"(9, 10)","(10, 3)","{1: 0.795047039829693, 2: 0.018104522778394333, 3: 0.18684843739191254}"
"(9, 10)","(10, 2)","{1: 0.795047039829693, 2: 0.018104522778394333, 3: 0.18684843739191254}"
"(9, 10)","(11, 2)","{1: 0.795047039829693, 2: 0.018104522778394333, 3: 0.18684843739191254}"
"(9, 11)","(12, 2)","{1: 0.11309752980409447, 2: 0.018137634648677285, 3: 0.8687648355472282}"
"(9, 12)","(13, 2)","{1: 0.11309752980409447, 2: 0.018137634648677285, 3: 0.8687648355472282}"
"(8, 12)","(14, 2)","{1: 0.11309752980409447, 2: 0.018137634648677285, 3: 0.8687648355472282}"
"(7, 12)","(15, 2)","{1: 0.11309752980409447, 2: 0.018137634648677285, 3: 0.8687648355472282}"
"(6, 12)","(16, 2)","{1: 0.009561594495936939, 2: 0.00453885224565772, 3: 0.9858995532584053}"
"(5, 12)","(17, 2)","{1: 0.009561594495936939, 2: 0.00453885224565772, 3: 0.9858995532584053}"
"(4, 12)","(18, 2)","{1: 0.009561594495936939, 2: 0.00453885224565772, 3: 0.9858995532584053}"
"(3, 12)","(17, 2)","{1: 0.009561594495936939, 2: 0.00453885224565772, 3: 0.9858995532584053}"
"(2, 12)","(16, 2)","{1: 0.0038819650610426946, 2: 0.002930347644424114, 3: 0.9931876872945332}"
"(3, 12)","(15, 2)","{1: 0.0038819650610426946, 2: 0.002930347644424114, 3: 0.9931876872945332}"
"(4, 12)","(15, 3)","{1: 0.0038819650610426946, 2: 0.002930347644424114, 3: 0.9931876872945332}"
"(5, 12)","(14, 3)","{1: 0.0038819650610426946, 2: 0.002930347644424114, 3: 0.9931876872945332}"
"(6, 12)","(14, 4)","{1: 0.0007144077636657361, 2: 0.0024201887104129886, 3: 0.9968654035259212}"
"(7, 12)","(13, 4)","{1: 0.0007144077636657361, 2: 0.0024201887104129886, 3: 0.9968654035259212}"
"(8, 12)","(13, 5)","{1: 0.0007144077636657361, 2: 0.0024201887104129886, 3: 0.9968654035259212}"
"(9, 12)","(13, 6)","{1: 0.0007144077636657361, 2: 0.0024201887104129886, 3: 0.9968654035259212}"
"(9, 11)","(13, 7)","{1: 0.00014376838740435218, 2: 0.0017517895629763239, 3: 0.9981044420496193}"
"(9, 10)","(12, 7)","{1: 0.00014376838740435218, 2: 0.0017517895629763239, 3: 0.9981044420496193}"
"(9, 10)","(12, 8)","{1: 0.00014376838740435218, 2: 0.0017517895629763239, 3: 0.9981044420496193}"
"(9, 10)","(12, 9)","{1: 0.00014376838740435218, 2: 0.0017517895629763239, 3: 0.9981044420496193}"
"(9, 10)","(11, 9)","{1: 3.0173356555837946e-05, 2: 0.00037634510887757, 3: 0.9995934815345666}"
"(9, 10)","(10, 9)","{1: 3.0173356555837946e-05, 2: 0.00037634510887757, 3: 0.9995934815345666}"
"(9, 10)","(9, 9)","{1: 3.0173356555837946e-05, 2: 0.00037634510887757, 3: 0.9995934815345666}"
