watcher_pos,knower_pos,reaction_time
"(9, 17)","(8, 2)",1.8386437892913818
"(9, 16)","(8, 3)",0.3284761905670166
"(9, 15)","(7, 3)",0.22907185554504395
"(9, 14)","(6, 3)",0.6282591819763184
"(9, 13)","(6, 4)",0.17629098892211914
"(9, 12)","(5, 4)",0.10460710525512695
"(8, 12)","(4, 4)",0.41193318367004395
"(7, 12)","(4, 3)",0.012477874755859375
"(6, 12)","(3, 3)",0.06436681747436523
"(5, 12)","(3, 2)",0.5990738868713379
"(4, 12)","(2, 2)",0.1483631134033203
"(3, 12)","(3, 2)",0.004018306732177734
"(2, 12)","(3, 3)",0.005620002746582031
"(3, 12)","(4, 3)",0.3488037586212158
"(4, 12)","(4, 4)",0.018316030502319336
"(5, 12)","(5, 4)",0.027743816375732422
"(6, 12)","(5, 5)",0.022689104080200195
"(7, 12)","(5, 6)",0.023520946502685547
"(7, 11)","(6, 6)",0.21155309677124023
"(8, 11)","(6, 7)",0.2160778045654297
"(9, 11)","(6, 8)",0.06299400329589844
"(9, 10)","(7, 8)",0.24550104141235352
"(9, 10)","(8, 8)",0.5764877796173096
"(9, 10)","(8, 9)",0.1048738956451416
"(9, 10)","(9, 9)",0.28513097763061523
