watcher_pos,knower_pos,reaction_time
"(9, 17)","(8, 2)",1.9496512413024902
"(9, 16)","(7, 2)",0.4602041244506836
"(8, 16)","(6, 2)",0.6446819305419922
"(8, 15)","(5, 2)",0.09931802749633789
"(7, 15)","(4, 2)",0.10528397560119629
"(7, 14)","(3, 2)",0.1273820400238037
"(6, 14)","(2, 2)",0.09882020950317383
"(6, 13)","(3, 2)",0.14946460723876953
"(5, 13)","(4, 2)",0.03724503517150879
"(4, 13)","(5, 2)",0.1303870677947998
"(5, 13)","(6, 2)",0.8059210777282715
"(6, 13)","(7, 2)",0.07623481750488281
"(7, 13)","(8, 2)",0.10429000854492188
"(8, 13)","(9, 2)",0.14755010604858398
"(9, 13)","(10, 2)",0.01808619499206543
"(10, 13)","(11, 2)",0.011845111846923828
"(10, 14)","(12, 2)",0.582878828048706
"(10, 15)","(13, 2)",0.15996026992797852
"(9, 15)","(14, 2)",0.4288039207458496
"(8, 15)","(15, 2)",0.15211200714111328
"(7, 15)","(16, 2)",0.2497410774230957
"(6, 15)","(17, 2)",0.2100660800933838
"(5, 15)","(18, 2)",0.1899101734161377
"(5, 16)","(17, 2)",0.044938087463378906
"(4, 16)","(16, 2)",0.05600476264953613
"(4, 17)","(15, 2)",0.07222819328308105
"(3, 17)","(14, 2)",0.0797419548034668
"(3, 18)","(13, 2)",0.13323092460632324
"(2, 18)","(12, 2)",0.006417989730834961
"(3, 18)","(11, 2)",0.5236012935638428
"(4, 18)","(10, 2)",0.02508687973022461
"(5, 18)","(9, 2)",0.28866100311279297
"(5, 17)","(9, 3)",0.13697195053100586
"(5, 16)","(9, 4)",0.025229692459106445
"(6, 16)","(9, 5)",0.06774592399597168
"(7, 16)","(9, 6)",0.027025938034057617
"(8, 16)","(9, 7)",0.013707160949707031
"(9, 16)","(9, 8)",0.020625829696655273
"(9, 15)","(9, 9)",0.008272886276245117
"(9, 14)","(9, 9)",0.20202088356018066
"(9, 13)","(9, 9)",0.1611621379852295
"(9, 12)","(9, 9)",0.22280192375183105
"(9, 11)","(9, 9)",0.0292510986328125
"(9, 10)","(9, 9)",0.2284412384033203
