watcher_pos,knower_pos,reaction_time
"(9, 17)","(9, 3)",2.940714120864868
"(9, 16)","(9, 4)",0.2356889247894287
"(9, 15)","(8, 4)",0.2296769618988037
"(9, 14)","(7, 4)",0.5612270832061768
"(9, 13)","(6, 4)",0.3927021026611328
"(9, 12)","(5, 4)",0.47934794425964355
"(8, 12)","(4, 4)",0.4211850166320801
"(7, 12)","(4, 3)",0.07608699798583984
"(6, 12)","(3, 3)",0.18790888786315918
"(5, 12)","(3, 2)",0.18296074867248535
"(4, 12)","(2, 2)",0.11082005500793457
"(3, 12)","(3, 2)",0.15741705894470215
"(2, 12)","(3, 3)",0.13665485382080078
"(3, 12)","(4, 3)",0.21974611282348633
"(4, 12)","(4, 4)",0.09549093246459961
"(5, 12)","(5, 4)",0.11598372459411621
"(6, 12)","(5, 3)",0.09191131591796875
"(7, 12)","(5, 2)",0.10134077072143555
"(8, 12)","(6, 2)",0.18581199645996094
"(9, 12)","(7, 2)",0.14329290390014648
"(10, 12)","(8, 2)",0.5341439247131348
"(10, 13)","(9, 2)",0.150374174118042
"(10, 14)","(10, 2)",0.010442972183227539
"(10, 15)","(11, 2)",0.2432861328125
"(10, 16)","(12, 2)",0.2188868522644043
"(10, 17)","(13, 2)",0.05585289001464844
"(10, 18)","(14, 2)",0.15475106239318848
"(9, 18)","(15, 2)",0.07201480865478516
"(8, 18)","(16, 2)",0.034765005111694336
"(7, 18)","(17, 2)",0.03641390800476074
"(6, 18)","(18, 2)",0.03673982620239258
"(5, 18)","(17, 2)",0.025107860565185547
"(4, 18)","(16, 2)",0.2729761600494385
"(3, 18)","(15, 2)",0.014682769775390625
"(2, 18)","(14, 2)",0.07984590530395508
"(2, 17)","(13, 2)",0.05823683738708496
"(2, 16)","(13, 3)",0.011307954788208008
"(2, 15)","(13, 4)",0.006494998931884766
"(2, 14)","(13, 5)",0.029464006423950195
"(2, 13)","(12, 5)",0.004578113555908203
"(2, 12)","(12, 6)",0.015625
"(2, 11)","(11, 6)",0.039465904235839844
"(2, 10)","(10, 6)",0.11023068428039551
"(3, 10)","(10, 7)",0.025784015655517578
"(4, 10)","(9, 7)",0.20208406448364258
"(5, 10)","(9, 8)",0.1859419345855713
"(6, 10)","(9, 9)",0.21571803092956543
"(7, 10)","(9, 9)",0.24501323699951172
"(8, 10)","(9, 9)",0.01694488525390625
"(9, 10)","(9, 9)",0.2451930046081543
