watcher_pos,knower_pos,reaction_time
"(9, 17)","(8, 2)",1.8453121185302734
"(8, 17)","(7, 2)",0.28769397735595703
"(7, 17)","(6, 2)",0.06968808174133301
"(6, 17)","(5, 2)",0.0851430892944336
"(6, 16)","(4, 2)",0.03239798545837402
"(5, 16)","(3, 2)",0.06750106811523438
"(5, 17)","(2, 2)",0.18659520149230957
"(5, 18)","(2, 3)",0.02030777931213379
"(5, 17)","(3, 3)",0.3158390522003174
"(5, 16)","(4, 3)",0.022877931594848633
"(5, 15)","(5, 3)",0.02096080780029297
"(5, 14)","(5, 4)",0.014102935791015625
"(5, 13)","(5, 5)",0.25113606452941895
"(5, 12)","(6, 5)",0.017437219619750977
"(4, 12)","(6, 6)",0.17879891395568848
"(3, 12)","(7, 6)",0.22922325134277344
"(2, 12)","(7, 7)",0.0385890007019043
"(3, 12)","(7, 8)",0.25175976753234863
"(4, 12)","(8, 8)",0.0824592113494873
"(5, 12)","(8, 9)",0.019385099411010742
"(6, 12)","(9, 9)",0.017949819564819336
"(7, 12)","(9, 9)",0.02365279197692871
"(8, 12)","(9, 9)",0.019644975662231445
"(9, 12)","(9, 9)",0.05186915397644043
"(9, 11)","(9, 9)",0.003901958465576172
"(9, 10)","(9, 9)",0.005447864532470703
