watcher_pos,knower_pos,reaction_time
"(9, 17)","(9, 1)",2.911226987838745
"(9, 16)","(9, 0)",0.16811275482177734
"(9, 15)","(8, 0)",0.26531267166137695
"(9, 14)","(7, 0)",0.2699770927429199
"(8, 14)","(6, 0)",0.15864181518554688
"(7, 14)","(5, 0)",0.12477493286132812
"(6, 14)","(4, 0)",0.08060479164123535
"(5, 14)","(3, 0)",0.09482502937316895
"(4, 14)","(2, 0)",0.07493090629577637
"(3, 14)","(2, 1)",0.08571505546569824
"(2, 14)","(2, 2)",0.0973520278930664
"(2, 13)","(2, 3)",0.3199019432067871
"(2, 12)","(3, 3)",0.030729055404663086
"(3, 12)","(3, 4)",0.15444374084472656
"(4, 12)","(3, 5)",0.01814889907836914
"(5, 12)","(4, 5)",0.08088898658752441
"(6, 12)","(5, 5)",0.1091756820678711
"(7, 12)","(6, 5)",0.10639500617980957
"(8, 12)","(6, 6)",0.10842490196228027
"(9, 12)","(6, 7)",0.2708101272583008
"(9, 11)","(7, 7)",0.08625507354736328
"(9, 10)","(8, 7)",0.12343502044677734
"(9, 10)","(8, 8)",0.7785089015960693
"(9, 10)","(8, 9)",0.05129694938659668
"(9, 10)","(9, 9)",0.13909196853637695
