watcher_pos,knower_pos,reaction_time
"(9, 17)","(8, 2)",1.2905118465423584
"(9, 16)","(7, 2)",0.198289155960083
"(9, 15)","(6, 2)",0.21709513664245605
"(9, 14)","(5, 2)",0.18689632415771484
"(9, 13)","(4, 2)",0.14332127571105957
"(9, 12)","(3, 2)",0.13101887702941895
"(8, 12)","(2, 2)",0.04374194145202637
"(7, 12)","(3, 2)",0.017998218536376953
"(6, 12)","(3, 3)",0.04710221290588379
"(5, 12)","(3, 4)",0.03649497032165527
"(4, 12)","(4, 4)",0.017634868621826172
"(3, 12)","(5, 4)",0.016186952590942383
"(2, 12)","(6, 4)",0.05782008171081543
"(3, 12)","(7, 4)",0.1465620994567871
"(4, 12)","(7, 5)",0.013602018356323242
"(5, 12)","(7, 6)",0.004210948944091797
"(6, 12)","(8, 6)",0.0202791690826416
"(7, 12)","(8, 7)",0.02176690101623535
"(8, 12)","(8, 8)",0.04986691474914551
"(9, 12)","(9, 8)",0.06380009651184082
"(9, 11)","(9, 9)",0.08067727088928223
"(9, 10)","(9, 9)",0.025218963623046875
