watcher_pos,knower_pos,reaction_time
"(9, 17)","(8, 2)",0.9425148963928223
"(9, 16)","(7, 2)",0.13811779022216797
"(8, 16)","(6, 2)",0.48072123527526855
"(7, 16)","(5, 2)",0.020919084548950195
"(6, 16)","(4, 2)",0.08068084716796875
"(6, 15)","(3, 2)",0.18809819221496582
"(5, 15)","(2, 2)",0.2942650318145752
"(4, 15)","(3, 2)",0.24940800666809082
"(4, 14)","(4, 2)",0.25196313858032227
"(4, 13)","(5, 2)",0.13523292541503906
"(4, 12)","(6, 2)",0.10378289222717285
"(4, 13)","(7, 2)",0.5338249206542969
"(4, 14)","(8, 2)",0.01611495018005371
"(4, 15)","(9, 2)",0.019353151321411133
"(4, 16)","(10, 2)",0.025060176849365234
"(4, 17)","(11, 2)",0.024908065795898438
"(4, 18)","(12, 2)",0.02338409423828125
"(3, 18)","(13, 2)",0.014326810836791992
"(2, 18)","(14, 2)",0.04788684844970703
"(2, 17)","(15, 2)",0.08699607849121094
"(2, 16)","(16, 2)",0.018751144409179688
"(3, 16)","(17, 2)",0.1424567699432373
"(4, 16)","(18, 2)",0.025259017944335938
"(5, 16)","(17, 2)",0.016652822494506836
"(6, 16)","(16, 2)",0.017039060592651367
"(7, 16)","(15, 2)",0.024541139602661133
"(8, 16)","(15, 3)",0.022845745086669922
"(8, 15)","(14, 3)",0.23405003547668457
"(8, 14)","(14, 4)",0.0006580352783203125
"(8, 13)","(13, 4)",0.026607990264892578
"(8, 12)","(12, 4)",0.022668838500976562
"(8, 11)","(11, 4)",0.31337976455688477
"(8, 10)","(10, 4)",0.0168612003326416
"(9, 10)","(10, 5)",0.23670697212219238
"(9, 10)","(10, 6)",0.5632438659667969
"(9, 10)","(9, 6)",0.11397218704223633
"(9, 10)","(9, 7)",0.11592292785644531
"(9, 10)","(9, 8)",0.24535703659057617
"(9, 10)","(9, 9)",0.12561702728271484
