watcher_pos,knower_pos,reaction_time
"(9, 17)","(8, 2)",0.9824960231781006
"(9, 16)","(7, 2)",0.4164400100708008
"(9, 15)","(6, 2)",0.18269014358520508
"(8, 15)","(5, 2)",0.43462395668029785
"(7, 15)","(4, 2)",0.19919705390930176
"(6, 15)","(3, 2)",0.0425868034362793
"(6, 14)","(3, 3)",0.04711198806762695
"(6, 13)","(2, 3)",0.016180992126464844
"(5, 13)","(2, 4)",0.04573178291320801
"(4, 13)","(2, 5)",0.060598134994506836
"(5, 13)","(2, 6)",0.43474507331848145
"(6, 13)","(2, 7)",0.011895179748535156
"(7, 13)","(2, 8)",0.022900819778442383
"(8, 13)","(3, 8)",0.02596569061279297
"(9, 13)","(4, 8)",0.024426937103271484
"(10, 13)","(4, 9)",0.024170875549316406
"(11, 13)","(5, 9)",0.0231781005859375
"(12, 13)","(6, 9)",0.056732177734375
"(12, 12)","(7, 9)",0.2801480293273926
"(13, 12)","(8, 9)",0.22118926048278809
"(14, 12)","(9, 9)",0.04898715019226074
"(15, 12)","(9, 9)",0.04456186294555664
"(16, 12)","(9, 9)",0.05616426467895508
"(17, 12)","(9, 9)",0.030473947525024414
"(18, 12)","(9, 9)",0.16618919372558594
"(17, 12)","(9, 9)",0.19601798057556152
"(16, 12)","(9, 9)",0.009704113006591797
"(15, 12)","(9, 9)",0.04431486129760742
"(14, 12)","(9, 9)",0.018958091735839844
"(13, 12)","(9, 9)",0.008322715759277344
"(12, 12)","(9, 9)",0.040550947189331055
"(11, 12)","(9, 9)",0.08731913566589355
"(10, 12)","(9, 9)",0.008476018905639648
"(9, 12)","(9, 9)",0.7667608261108398
"(9, 11)","(9, 9)",0.09461688995361328
"(9, 10)","(9, 9)",0.26219892501831055
