watcher_pos,knower_pos,reaction_time
"(9, 17)","(9, 3)",3.7194530963897705
"(9, 16)","(8, 3)",0.4744999408721924
"(9, 15)","(8, 4)",0.8424808979034424
"(10, 15)","(8, 5)",0.13881611824035645
"(11, 15)","(8, 6)",0.1962440013885498
"(12, 15)","(8, 7)",0.18210792541503906
"(13, 15)","(7, 7)",0.07484602928161621
"(14, 15)","(6, 7)",0.12540578842163086
"(15, 15)","(5, 7)",0.1022648811340332
"(16, 15)","(4, 7)",0.1533811092376709
"(17, 15)","(3, 7)",0.10974001884460449
"(18, 15)","(2, 7)",0.16188287734985352
"(18, 14)","(2, 6)",0.06667208671569824
"(18, 13)","(3, 6)",0.1105949878692627
"(18, 12)","(3, 5)",0.1856551170349121
"(17, 12)","(3, 4)",0.45959925651550293
"(16, 12)","(4, 4)",0.16051483154296875
"(15, 12)","(5, 4)",0.11683797836303711
"(15, 13)","(5, 3)",0.21287918090820312
"(15, 14)","(5, 2)",0.10632586479187012
"(15, 15)","(6, 2)",0.06086897850036621
"(15, 16)","(7, 2)",0.11529207229614258
"(15, 17)","(8, 2)",0.08383011817932129
"(15, 18)","(9, 2)",0.07686591148376465
"(14, 18)","(10, 2)",0.03910708427429199
"(13, 18)","(11, 2)",0.06276798248291016
"(12, 18)","(12, 2)",0.0005121231079101562
"(11, 18)","(13, 2)",0.04436802864074707
"(10, 18)","(14, 2)",0.2315998077392578
"(9, 18)","(15, 2)",0.21100497245788574
"(8, 18)","(16, 2)",0.19258975982666016
"(7, 18)","(17, 2)",0.015733003616333008
"(6, 18)","(18, 2)",0.06460094451904297
"(5, 18)","(17, 2)",0.27621889114379883
"(4, 18)","(16, 2)",0.028979063034057617
"(3, 18)","(15, 2)",0.05779409408569336
"(2, 18)","(15, 3)",0.029525041580200195
"(2, 17)","(14, 3)",0.2601039409637451
"(2, 16)","(14, 4)",0.10939383506774902
"(2, 15)","(13, 4)",0.24005699157714844
"(2, 14)","(13, 5)",0.005908966064453125
"(3, 14)","(13, 6)",0.09821915626525879
"(4, 14)","(12, 6)",0.019588232040405273
"(5, 14)","(11, 6)",0.04644417762756348
"(6, 14)","(11, 7)",0.05714273452758789
"(7, 14)","(11, 8)",0.04149508476257324
"(8, 14)","(10, 8)",0.012563228607177734
"(9, 14)","(10, 9)",0.12659311294555664
"(9, 13)","(9, 9)",0.2315349578857422
"(9, 12)","(9, 9)",0.2605161666870117
"(9, 11)","(9, 9)",0.0008001327514648438
"(9, 10)","(9, 9)",0.03196215629577637
