watcher_pos,knower_pos,reaction_time
"(9, 17)","(8, 2)",1.4054300785064697
"(9, 16)","(7, 2)",0.11752200126647949
"(9, 15)","(6, 2)",0.010151147842407227
"(9, 14)","(5, 2)",0.004572868347167969
"(9, 13)","(4, 2)",0.02890491485595703
"(8, 13)","(3, 2)",0.11171603202819824
"(7, 13)","(2, 2)",0.032482147216796875
"(6, 13)","(3, 2)",0.022015094757080078
"(5, 13)","(4, 2)",0.024171829223632812
"(5, 12)","(4, 3)",0.07162284851074219
"(4, 12)","(5, 3)",0.18470001220703125
"(3, 12)","(6, 3)",0.010288000106811523
"(2, 12)","(7, 3)",0.28199195861816406
"(3, 12)","(7, 4)",0.22041869163513184
"(4, 12)","(7, 5)",0.1970069408416748
"(5, 12)","(7, 6)",0.20536112785339355
"(6, 12)","(7, 7)",0.23557209968566895
"(7, 12)","(7, 8)",0.005471944808959961
"(8, 12)","(8, 8)",0.055754899978637695
"(9, 12)","(9, 8)",0.2157149314880371
"(9, 11)","(9, 9)",0.16304779052734375
"(9, 10)","(9, 9)",0.5728771686553955
