watcher_pos,knower_pos,reaction_time
"(9, 17)","(9, 3)",1.6547420024871826
"(9, 16)","(8, 3)",0.1626138687133789
"(9, 15)","(8, 4)",0.15000510215759277
"(9, 14)","(8, 5)",0.09836196899414062
"(9, 13)","(7, 5)",0.09655976295471191
"(10, 13)","(7, 6)",0.0834808349609375
"(11, 13)","(7, 7)",0.06746292114257812
"(12, 13)","(6, 7)",0.02208399772644043
"(13, 13)","(5, 7)",0.05960869789123535
"(14, 13)","(4, 7)",0.06516218185424805
"(15, 13)","(3, 7)",0.04863381385803223
"(16, 13)","(2, 7)",0.02396392822265625
"(17, 13)","(3, 7)",0.09126687049865723
"(18, 13)","(3, 8)",0.11608099937438965
"(18, 12)","(4, 8)",0.0699470043182373
"(17, 12)","(4, 9)",0.20365595817565918
"(16, 12)","(5, 9)",0.20099878311157227
"(15, 12)","(6, 9)",0.03079986572265625
"(14, 12)","(7, 9)",0.015115022659301758
"(13, 12)","(8, 9)",0.01765894889831543
"(12, 12)","(9, 9)",0.013426065444946289
"(11, 12)","(9, 9)",0.04111504554748535
"(10, 12)","(9, 9)",0.04061007499694824
"(9, 12)","(9, 9)",0.2194538116455078
"(9, 11)","(9, 9)",0.03626298904418945
"(9, 10)","(9, 9)",0.3620872497558594
