watcher_pos,knower_pos,reaction_time
"(9, 17)","(8, 2)",0.9559180736541748
"(9, 16)","(7, 2)",0.35088610649108887
"(8, 16)","(7, 1)",0.3239290714263916
"(7, 16)","(7, 0)",0.23035001754760742
"(7, 15)","(6, 0)",0.2054140567779541
"(7, 14)","(5, 0)",0.04897308349609375
"(7, 13)","(4, 0)",0.3079049587249756
"(7, 12)","(4, 1)",0.013409137725830078
"(6, 12)","(3, 1)",0.024535179138183594
"(5, 12)","(2, 1)",0.033995866775512695
"(4, 12)","(2, 2)",0.13944220542907715
"(3, 12)","(3, 2)",0.023033857345581055
"(2, 12)","(3, 3)",0.08787894248962402
"(3, 12)","(3, 4)",0.16674304008483887
"(4, 12)","(4, 4)",0.018413066864013672
"(5, 12)","(5, 4)",0.23939085006713867
"(6, 12)","(6, 4)",0.27025294303894043
"(7, 12)","(7, 4)",0.017896175384521484
"(8, 12)","(7, 5)",0.19876909255981445
"(9, 12)","(7, 6)",0.09445405006408691
"(9, 11)","(8, 6)",0.1729569435119629
"(9, 10)","(8, 7)",0.2826840877532959
"(9, 10)","(9, 7)",0.603126049041748
"(9, 10)","(9, 8)",0.1674962043762207
"(9, 10)","(9, 9)",0.02953481674194336
