watcher_pos,knower_pos,reaction_time
"(9, 17)","(8, 2)",1.241380214691162
"(9, 16)","(7, 2)",0.03370308876037598
"(9, 15)","(6, 2)",0.029912710189819336
"(9, 14)","(5, 2)",0.054280996322631836
"(8, 14)","(5, 3)",0.13521790504455566
"(7, 14)","(5, 4)",0.039920806884765625
"(6, 14)","(4, 4)",0.019448280334472656
"(5, 14)","(3, 4)",0.01761627197265625
"(5, 13)","(2, 4)",0.07977604866027832
"(5, 12)","(1, 4)",0.006067037582397461
"(4, 12)","(1, 5)",0.2733571529388428
"(5, 12)","(1, 6)",0.4933891296386719
"(6, 12)","(2, 6)",0.008847713470458984
"(7, 12)","(2, 7)",0.021085023880004883
"(8, 12)","(3, 7)",0.022989749908447266
"(9, 12)","(3, 8)",0.02404308319091797
"(10, 12)","(4, 8)",0.02457904815673828
"(11, 12)","(4, 9)",0.021465063095092773
"(12, 12)","(5, 9)",0.02297496795654297
"(13, 12)","(6, 9)",0.022913217544555664
"(14, 12)","(7, 9)",0.022981882095336914
"(15, 12)","(8, 9)",0.02439594268798828
"(16, 12)","(9, 9)",0.019201040267944336
"(17, 12)","(9, 9)",0.021736860275268555
"(18, 12)","(9, 9)",0.3017561435699463
"(17, 12)","(9, 9)",0.20269083976745605
"(16, 12)","(9, 9)",0.011082887649536133
"(15, 12)","(9, 9)",0.024115800857543945
"(14, 12)","(9, 9)",0.023795127868652344
"(13, 12)","(9, 9)",0.020772218704223633
"(12, 12)","(9, 9)",0.022871017456054688
"(12, 11)","(9, 9)",0.018798828125
"(11, 11)","(9, 9)",0.060463905334472656
"(10, 11)","(9, 9)",0.03769326210021973
"(9, 11)","(9, 9)",0.1315007209777832
"(9, 10)","(9, 9)",0.238631010055542
