log_likelihood,action_prob,goal_prob,action_surprisal,goal_surprisal,reaction_time
-1.370468733371849,,,,,1.3481590747833252
-1.3926441224751087,0.37309685197066167,0.4511580850650009,1.422377907516039,1.1482950548053237,0.3951010704040527
-1.3749614157641887,0.19907170245913833,0.10477676546643479,2.3286399347194475,3.254609264106382,0.1903889179229736
-1.3569432051441284,0.32302723639807723,0.33873105029403916,1.6302722824144766,1.5617878551706914,0.1317219734191894
-1.3385266503631534,0.3276600164884802,0.3442802211455066,1.6097284596422097,1.538344794243659,0.1786181926727295
-1.3801426049219425,0.18551676933331934,0.07070295185650735,2.4303784932674244,3.8220857407960023,0.15631103515625
-1.3206971209711864,0.1899783709051533,0.07500647219340403,2.3960929182475073,3.736841100853392,0.6190268993377686
-1.5606827399110006,0.33248371625948003,0.33873105029403916,1.5886444100538966,1.5617878551706914,0.0470731258392334
-1.5267280015076128,0.19539427117351482,0.07500647219340403,2.3555399257935536,3.736841100853392,0.1280150413513183
-1.4928933209816466,0.33827364736183146,0.33873105029403916,1.563737304102661,1.5617878551706914,0.1157188415527343
-1.458922978053677,0.2015653755642361,0.07500647219340403,2.310680257596593,3.736841100853392,0.1216866970062255
-1.4245639686187053,0.4265398005058526,0.33873105029403916,1.2292477289278527,1.5617878551706914,0.0768170356750488
-1.389570510719441,0.4405934741088777,0.3442802211455066,1.182479968301775,1.538344794243659,0.1107099056243896
-1.3537093224300658,0.22001347220224282,0.10043318016594406,2.184336227117985,3.3156921228819316,0.0985848903656005
-1.3167674558292028,0.22578098212330755,0.10477676546643479,2.147004124063827,3.254609264106382,0.1452040672302246
-1.2785646908942718,0.4481304501053348,0.08791125960953759,1.1580093350931822,3.5078082332510245,0.0630052089691162
-1.238972922027397,0.4477860438546494,0.05980632446796007,1.1591185304651621,4.063558133510159,0.1739919185638427
-1.513699926785416,0.457192752324853,0.06404600464656963,1.12912556156216,3.9647476154039896,0.1499421596527099
-1.5341166861999784,0.4651366934079388,0.06817479932392521,1.10427334012575,3.874617641275976,0.1492719650268554
-0.6445324357570933,0.4712908333018861,0.07218777982085194,1.0853104739595614,3.792101556041812,0.1216719150543212
-0.6234077323395918,0.47556227665014117,0.07608218706575517,1.072293815144916,3.716297471131876,0.0325980186462402
-0.6031654099548086,0.4783482723409036,0.0798569604354636,1.0638667071743637,3.646438029500952,0.0020439624786376
-0.5843597514527424,0.4544899013407123,0.17653887961546216,1.1376798564581578,2.5019421479269686,0.0745739936828613
-0.567591634764464,0.4544899013407123,0.17653887961546216,1.1376798564581578,2.5019421479269686,0.0248479843139648
-0.5534459214467597,0.4544899013407123,0.17653887961546216,1.1376798564581578,2.5019421479269686,0.0153720378875732
-0.5423688153888521,0.4544899013407123,0.17653887961546216,1.1376798564581578,2.5019421479269686,0.0768959522247314
-0.5344113963404445,0.4544899013407123,0.17653887961546216,1.1376798564581578,2.5019421479269686,0.0212628841400146
-0.5288192988555409,0.4544899013407123,0.17653887961546216,1.1376798564581578,2.5019421479269686,0.0506050586700439
